artifact,deployed,passed,diagnostic_only,override_reason,skipped_required_gates,sanity_reason,wf_reason,candidate_artifact_used,recipe_validated
panel-ltr.alpha158_fund.json,True,True,True,"Operator directive 2026-06-22 (""全放宽 + 上 XGB"", ""把xgb马力开足，目前无论什么regime都只能用它""). Primary config wf_gate already opts out benchmark/regime/sanity_regime_ic (2026-05-30 operator decision accepting SPY-laggard GBDT). trade-monotonicity has no pass-enabling opt-in and is OVERRIDDEN by explicit operator authority. Real WF evidence retained below: Sharpe 0.70 vs SPY 1.08 (1/3 cuts beat), APY 7.0% vs SPY 16.9% (0/3 cuts beat), OOS IC +0.053. Reversible: restore the /tmp/prod-xgb.predeploy.* backup.","[""trade_monotonicity_pass_open_allowed""]","FAIL: regime sanity IC failed: regime sanity IC failed: BULL_CALM,CHOPPY","PASS: absolute Sharpe floor met and SPY benchmark met; SPY mean Sharpe +1.081, ΔSharpe -0.384, beat SPY Sharpe 1/3, beat SPY APY 0/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True
panel-ltr.alpha158_fund.weekly_20260706T230931Z.staging.json,False,True,False,2026-07-06 operator-directed freshness promote per model freshness governance policy (NO model >28d; freshness > strict gate). genuine_ic=+0.008 below 0.020 threshold due to structural embargo leakage floor (~+0.04 placebo on 60d label). real_ic=+0.055 is positive. Trained 2026-07-06.,[],"FAIL: shuf_ic=-0.0010 (need |·| < 0.005), genuine_ic=+0.0081 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0651, placebo_ic=+0.0570)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.778, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.303, beat SPY Sharpe 1/3, beat SPY APY 0/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True
panel-ltr.alpha158_fund.weekly_20260712T170005Z.staging.json,False,False,False,,[],"FAIL: shuf_ic=-0.0017 (need |·| < 0.005), genuine_ic=+0.0058 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0650, placebo_ic=+0.0592)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.692, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.389, beat SPY Sharpe 1/3, beat SPY APY 1/3; benchmark-lag regimes=['HIGH_CALM']",False,True
panel-ltr.alpha158_fund.weekly_20260713T201007Z.staging.json,False,False,False,,[],"FAIL: shuf_ic=-0.0016 (need |·| < 0.005), genuine_ic=+0.0053 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0646, placebo_ic=+0.0594)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.692, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.389, beat SPY Sharpe 1/3, beat SPY APY 1/3; benchmark-lag regimes=['HIGH_CALM']",False,True
panel-ltr.alpha158_fund.weekly_20260718T110005Z.staging.json,False,False,False,,[],"FAIL: shuf_ic=+0.0021 (need |·| < 0.005), genuine_ic=+0.0033 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0631, placebo_ic=+0.0598)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +1.166, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe +0.085, beat SPY Sharpe 2/3, beat SPY APY 1/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True
panel-ltr.alpha158_fund.weekly_20260719T170005Z.staging.json,False,False,False,,[],"FAIL: shuf_ic=+0.0021 (need |·| < 0.005), genuine_ic=+0.0033 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0631, placebo_ic=+0.0598)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.607, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.474, beat SPY Sharpe 1/3, beat SPY APY 0/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True
panel-ltr.alpha158_fund.weekly_20260721T201008Z.staging.json,False,False,False,,[],"FAIL: shuf_ic=+0.0021 (need |·| < 0.005), genuine_ic=+0.0033 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0631, placebo_ic=+0.0598)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.650, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.430, beat SPY Sharpe 1/3, beat SPY APY 1/3; benchmark-lag regimes=['HIGH_CALM']",False,True
panel-ltr.alpha158_fund.weekly_20260725T110003Z.staging.json,False,False,False,,[],"FAIL: shuf_ic=+0.0021 (need |·| < 0.005), genuine_ic=+0.0033 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0631, placebo_ic=+0.0598)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.650, 3/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.430, beat SPY Sharpe 1/3, beat SPY APY 1/3; benchmark-lag regimes=['HIGH_CALM']",False,True
panel-ltr.alpha158_fund.weekly_20260726T170001Z.staging.json,False,False,False,,[],"FAIL: shuf_ic=-0.0008 (need |·| < 0.005), genuine_ic=+0.0008 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0589, placebo_ic=+0.0581)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.535, 2/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.545, beat SPY Sharpe 1/3, beat SPY APY 0/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True
panel-ltr.alpha158_fund.weekly_20260729T201003Z.staging.json,False,False,False,,[],"FAIL: shuf_ic=-0.0008 (need |·| < 0.005), genuine_ic=+0.0008 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0589, placebo_ic=+0.0581)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.535, 2/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.545, beat SPY Sharpe 1/3, beat SPY APY 0/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True
panel-ltr.alpha158_fund.weekly_20260730T201007Z.staging.json,False,False,False,,[],"FAIL: shuf_ic=-0.0008 (need |·| < 0.005), genuine_ic=+0.0008 (need genuine_ic = aligned_real_ic − placebo_ic > +0.020 [genuine_ic>0.02 (shadow-only, not enforced)]; aligned_real_ic=+0.0589, placebo_ic=+0.0581)","FAIL: absolute_ok=True, benchmark_ok=False, regime_ok=False; mean Sharpe +0.535, 2/3 cuts > 0; SPY mean Sharpe +1.081, ΔSharpe -0.545, beat SPY Sharpe 1/3, beat SPY APY 0/3; benchmark-lag regimes=['HIGH_CALM', 'LOW_SPIKED']",False,True
