date,n_names,n_univ_r,y_z10,y_zdec,y_r10,y_rdec,disp20,breadth,spyvol20,scoredisp,skill60,regime
2023-10-03,292,292,2.0705169693263747,1.0226696394412145,0.3954833954718389,0.19533713919947088,0.014186970735219049,0.11301369863013698,0.11907424485838619,0.05381746205058424,,BULL_VOLATILE
2023-10-04,292,292,1.9044171003806505,0.9405626829008019,0.3414094681616936,0.16861695123285453,0.014400920572758213,0.14726027397260275,0.12377642778961688,0.052220175468814356,,BULL_VOLATILE
2023-10-05,292,292,1.0108790828993286,0.805434654885051,0.16798670561577222,0.13384619046113017,0.014323790947569975,0.1541095890410959,0.12396481715486161,0.05285105559760923,,BULL_VOLATILE
2023-10-06,292,292,0.9575174215767088,0.7520277006184175,0.1443439825437698,0.11336678669694568,0.014431716982625246,0.2089041095890411,0.1333064520096249,0.051447560501223705,,BULL_CALM
2023-10-09,292,292,1.3430423046007394,0.4711754385912428,0.20286865246262623,0.07117179106946184,0.014557695768800024,0.273972602739726,0.1331625857752861,0.05095877656779264,,BULL_CALM
2023-10-10,292,292,1.2327339971415803,0.48009524285219374,0.1822003733161972,0.07095896817791232,0.014315558675893698,0.3047945205479452,0.1346367523840537,0.05061186286956501,,BULL_CALM
2023-10-11,292,292,1.6385685722814993,0.7609851811744646,0.2538392521068255,0.11788820591422758,0.014431182123545383,0.3767123287671233,0.1357358745884419,0.04975730580638385,,BULL_CALM
2023-10-12,292,292,0.8463410100657551,0.7885537696704055,0.13979813200251937,0.13025286813751677,0.014589682805025974,0.3321917808219178,0.1317218756647888,0.05083946288401475,,BULL_CALM
2023-10-13,292,292,1.685206199697571,0.9977407790387257,0.2884995639046121,0.17080864032791832,0.014838610209954351,0.3219178082191781,0.12218635831880398,0.0498920987905529,,BULL_CALM
2023-10-16,292,292,0.9308036600699954,1.019103237056219,0.152297377232951,0.16674488594254247,0.014832685192887255,0.3801369863013699,0.12914190758127986,0.05016016427068507,,BULL_CALM
2023-10-17,292,292,1.2967577554658416,0.9670890266465613,0.19999945907151884,0.149154521257389,0.014847925451529692,0.4246575342465753,0.12908365546468029,0.048939811379888905,,BULL_CALM
2023-10-18,292,292,0.8800962353937211,0.721285398365853,0.14716668811646513,0.12061088207789092,0.015144460643020297,0.3356164383561644,0.1334365746272131,0.0488792241175998,,BULL_CALM
2023-10-19,292,292,1.0972975711001447,0.8384360747645083,0.18710811028084853,0.14296777252791532,0.015313332804449012,0.273972602739726,0.12392913220172623,0.0505224107936779,,BULL_CALM
2023-10-20,292,292,0.9460574937873363,0.8278870819741788,0.16513878899519535,0.1445115873398645,0.01546667496787143,0.1952054794520548,0.13069430560004788,0.04959373088014697,,BULL_VOLATILE
2023-10-23,292,292,1.0917819504732027,0.9937124730525234,0.20059544254152492,0.18257692683471105,0.015652823042715203,0.1780821917808219,0.1292182607299701,0.049696113170203796,,BULL_VOLATILE
2023-10-24,292,292,1.472188360316338,0.8748336908668166,0.268006487895819,0.15926026268253612,0.015970116239184002,0.2054794520547945,0.12270197147954809,0.050373211990420615,,BULL_VOLATILE
2023-10-25,292,292,1.5781956014160772,0.9939417300987128,0.3124934259941178,0.1968071994360986,0.016390244193347208,0.17123287671232876,0.13247215228183198,0.05226132333890188,,BULL_VOLATILE
2023-10-26,292,292,1.621232211855273,1.1479867840365487,0.3303321473062657,0.23390661539844854,0.016790775699034935,0.1643835616438356,0.1354116193464476,0.05285819220541061,,BULL_VOLATILE
2023-10-27,292,292,1.4758537693403186,1.0300555036043213,0.29663601218370855,0.20703376124698572,0.017372811516757722,0.11986301369863013,0.13573396100007698,0.050419229393898854,,BULL_VOLATILE
2023-10-30,292,292,1.4302316681819125,1.1391915154631198,0.27718255752973375,0.2207782311054788,0.01757574153064731,0.1643835616438356,0.1444337459901527,0.05341823846266272,,BULL_VOLATILE
2023-10-31,292,292,1.5083630865974091,1.2217131552293201,0.3021906714425169,0.24476223395371582,0.01756924924902347,0.2226027397260274,0.13948303216880995,0.05325207752119486,,BULL_VOLATILE
