,panel,mom_slow,mom_fast,hedge_book,w_panel,w_mom_slow,w_mom_fast
2024-01-03,-0.02741546304397402,-0.0037815183742080003,-0.01720595807787843,-0.018954600635008617,0.5,0.25,0.25
2024-01-04,-0.004825901863910668,0.012476285633481613,0.005300261102067383,0.0020337145206087747,0.5,0.25035239130883535,0.2496476086911647
2024-01-05,0.002580500750843188,0.009977021624550497,0.0034255296549147163,0.0046444309888827645,0.5,0.2505407613428035,0.2494592386571966
2024-02-02,0.013060042658733803,0.08433700195892646,0.010499680839934541,0.03029181861386925,0.5,0.25071273691934576,0.24928726308065435
2024-02-05,-0.04933533512566705,-0.009168359013630445,0.008792008897522333,-0.02479317843776207,0.5,0.2517495936640587,0.24825040633594125
2024-02-06,0.0723848868620612,-0.0037738180216640624,-0.003671411463936791,0.03433100516854177,0.5,0.2512781514340617,0.24872184856593837
2024-02-07,0.03316679752632368,0.029200474395036924,0.02532702966314167,0.030236836420211376,0.5028204210881174,0.24985805810062278,0.24732152081125985
2024-02-08,0.03170509901514925,0.003216864852224721,0.006402281935004546,0.018337153997502152,0.5031297805915319,0.24980362781531065,0.24706659159315744
2024-02-09,0.016124359317149544,0.020586896912095476,0.011865966123875324,0.016186110041384746,0.504542158238212,0.2490106936843535,0.24644714807743437
2024-02-12,-0.019058742576392545,-0.010450956362494232,-0.017105085611981652,-0.01643229392783695,0.504535510709246,0.24924087528990865,0.24622361400084541
2024-02-13,-0.015161748213963136,-0.005320337125702716,-0.0217676818080977,-0.014332090627554485,0.5042571696318291,0.24955406984219802,0.24618876052597283
2024-02-14,0.014659426782164142,0.02602610498724811,0.017877169697096518,0.018292334255269157,0.5041689409786753,0.2500266014381163,0.24580445758320837
2024-02-15,0.00905532020766057,-0.004056459693979979,0.0067004869035411545,0.0051929216481146,0.5037842112712106,0.2504328779356702,0.24578291079311906
2024-02-16,0.01965431496555936,-0.006892420604997247,-0.001627169928424858,0.007786766454689691,0.5041926704478509,0.2499467542038614,0.2458605753482876
2024-02-20,-0.04505128024238262,-0.009524319443990606,-0.00578666359702477,-0.02656426702615964,0.5054491446281282,0.24917664164918363,0.24537421372268808
2024-02-21,-0.019829535804957204,-0.05075406733431279,-0.056040116816058284,-0.0364866971233517,0.5034867600587464,0.2500679541777671,0.2464452857634866
2024-02-22,0.07061640666337987,0.18901430707363306,0.13379349763808,0.11564951242560692,0.5050705921142569,0.2492702601587122,0.24565914772703087
2024-02-23,-0.028277881814170753,-0.04130702802349776,-0.03632063654120247,-0.03350143675103576,0.5050705921142569,0.24927026015871218,0.24565914772703087
2024-02-26,0.01029590622841329,0.02584606195812193,0.01611841842003862,0.015595252250155171,0.5056245868381796,0.24886182783013042,0.2455135853316901
2024-02-27,0.009905686168935132,-0.006123642437055062,-0.00656529043888876,0.0018637160606069939,0.5050617588384441,0.24939789992036496,0.24554034124119103
2024-02-28,-0.017425672995842117,-0.016467971911618935,-0.018857282789324376,-0.017538120777502032,0.5059146982396749,0.24897956172497052,0.24510574003535462
2024-02-29,0.04870002068971694,0.03211287651156244,0.004947953733054715,0.03384832043639454,0.5059266370574064,0.24903551756081457,0.24503784538177903
2024-03-01,0.054041488930239336,0.03796674208186731,0.01619830349671832,0.04082295257920318,0.5075034689962903,0.2489430363094633,0.24355349469424625
2024-03-04,0.0001812564816282558,0.06472507446400085,-0.010278299378579233,0.013710804049734323,0.5086994157227809,0.24889991632493788,0.2424006679522811
2024-03-05,-0.027645445639822668,-0.007981252710923648,-0.005337729382731434,-0.01732554004828599,0.5076405822514737,0.25099403853486707,0.2413653792136593
2024-03-06,0.0014194480422723421,0.023719601213528046,0.017929771939191763,0.01102268957144295,0.5065403887966853,0.2514864340836492,0.2419731771196656
2024-03-07,0.00495799824455001,0.021671863122992335,0.014756372407295585,0.011546901869939579,0.5055187865018803,0.2521573306617942,0.24232388283632558
2024-03-08,-0.007462633791160152,-0.02231428663798189,-0.011627541850359044,-0.012225489943246506,0.5048192392230298,0.25269376825520734,0.24248699252176284
2024-03-11,-0.04465402570362768,-0.035550271768603404,-0.010523898865316794,-0.03408129010667581,0.5053239969259068,0.25215875893093764,0.24251724414315562
2024-03-12,0.02076611943467969,0.07586910582907169,0.03654695326056393,0.03850256364834254,0.5042011512404996,0.2520799173711316,0.24371893138836873
2024-03-13,-0.008082368230573733,0.009236988789194248,0.010282469497602845,0.0007801676057237346,0.50301337275193,0.2530347275272036,0.2439518997208664
2024-03-14,-0.03796475768575428,-0.0245601042273537,-0.024115158712380902,-0.03118151300222006,0.5020771872268988,0.2534840542761685,0.2444387584969328
2024-03-15,-0.004588238206086337,-0.022231580142901386,-0.016664472432963245,-0.012023042868278003,0.501361983585536,0.2538365081427548,0.24480150827170918
2024-03-18,0.004513881182367212,0.001121729827088691,-0.01686621933357328,-0.001574100628640957,0.5021447178772362,0.2532925861905626,0.2445626959322011
2024-03-19,-0.029349804041167493,-0.03072505969615243,-0.019039507896738656,-0.027184917709005583,0.5027862482958273,0.25343558830822105,0.2437781633959516
2024-03-20,0.02263934832552646,0.004301842717387354,-0.00497021907675262,0.011253298533476293,0.5025574798503483,0.25324712549535067,0.24419539465430112
2024-03-21,0.02256437576287133,0.04770164374755903,0.01966295527221777,0.028214908951663772,0.5037589946759914,0.2528769138462974,0.24336409147771135
2024-03-22,0.004731276648133109,0.0031656835659025586,-0.004616267786138439,0.00206298362775247,0.503160140180729,0.2539131326590736,0.24292672716019728
2024-03-25,-0.0016952137847466113,0.02430272447428598,-0.0034644321123938893,0.004478342959937978,0.5034419972591587,0.25397185490921137,0.24258614783163
2024-03-26,-0.021444126913709487,-0.011303615231551064,0.005145083578799392,-0.012418580701509094,0.5027882440250048,0.2550306182352267,0.24218113773976857
2024-03-27,-0.0005304623281631171,-0.015591249387649997,0.01695322326687602,-0.00012245957597379568,0.5018348953365244,0.2550896860518682,0.24307541861160742
2024-03-28,-0.0012416155678568834,-0.0012122010071637934,-0.007981958019473026,-0.002878429065460519,0.5017904389785305,0.25426164531764633,0.24394791570382326
2024-04-01,0.001468968440109945,0.003792583977737999,0.002302058272087256,0.0022629942009245946,0.5019628564746925,0.2543505819184609,0.24368656160684668
2024-04-02,-0.012306449144887358,-0.010581284756821999,-0.005001099404296457,-0.010087281489730336,0.5018791533579953,0.2544322908556234,0.24368855578638143
2024-04-03,0.02585128552382887,0.018951070770411065,0.02606935179419556,0.024149027573926285,0.501645221734603,0.2544058476572401,0.24394893060815687
2024-04-04,-0.014512436226257383,-0.04856017398031146,-0.004566240023133994,-0.020737585977122122,0.5018244769257605,0.25412824544941043,0.244047277624829
2024-04-05,0.015184450949053444,0.023900413645318586,0.030671746672833827,0.021178972250635402,0.5024778329238709,0.2526462104449007,0.24487595663122824
2024-04-08,0.02298444511721968,-0.014825586567346005,-0.008224859699100917,0.0057687803879637525,0.5018452221677109,0.2527904055853134,0.24536437224697566
2024-04-09,-0.008195130776732914,-0.024566817037665462,-0.01422602982427553,-0.013791264016900055,0.5036594456896247,0.2516978069667373,0.24464274734363792
2024-04-10,0.0007944086422297936,0.007944837560221648,0.0029836464441646746,0.0031256178760559567,0.5042511874849448,0.25112864311385025,0.24462016940120507
2024-04-11,0.025333990483389874,0.030416782943505433,0.004424961870208392,0.021497100803085055,0.504004294401356,0.25138287546866167,0.24461283012998247
2024-04-12,-0.0274843560184402,-0.03219276774924299,-0.012037846361562576,-0.024905302335602536,0.5044094607780204,0.25185364256565984,0.2437368966563197
2024-04-15,-0.05776698191616866,-0.03689516728543633,-0.011647662353061583,-0.041247002730164906,0.5041357110353109,0.2514681919539066,0.24439609701078263
2024-04-16,0.006416382821567719,0.047788952920635376,0.0014162049628745343,0.015592539438669534,0.5027935994574598,0.2514898850272552,0.24571651551528495
2024-04-17,-0.022028784746639163,-0.014025576029231934,-0.011531920320216807,-0.017430853986002567,0.5018217474876061,0.253194061191137,0.24498419132125698
2024-04-18,-0.008097618351359507,-0.01759877508193497,-0.009294214080624733,-0.010798484807229631,0.5013371956148454,0.2533750638314833,0.24528774055367134
2024-04-19,-0.032150914788029374,-0.13516306187189364,-0.019840311200973775,-0.05519377505320753,0.5016214495445176,0.25301339819224977,0.24536515226323252
2024-04-22,0.043923447462446585,0.010301232486435627,0.011584622138103665,0.027487923760603283,0.5017777290922323,0.2521453323540186,0.2460769385537491
