seed,placebo_delta_sharpe
0,0.7994915229781389
1,0.5259767696846195
2,0.6345851286609253
3,0.6997066956502808
4,0.5796002034369038
5,0.5668142301658367
6,0.42431963246187043
7,0.5450317816954432
8,0.6317899246593143
9,0.5845872621369655
10,0.5971235854632521
11,0.501648766239457
12,0.5183841115849909
13,0.6491013050508286
14,0.6656529727787034
15,0.6061070068351818
16,0.45256736580206003
17,0.6482829218389466
18,0.5466392385368116
19,0.7055640950631156
20,0.534806039902885
21,0.5937016846751723
22,0.5329401401949866
23,0.5057736976539701
24,0.7266030631330721
25,0.5032139859320574
26,0.3724173092991837
27,1.0267923457966353
28,0.6403421385153124
29,0.5381070687756048
30,0.7200737315508415
31,0.676368188502216
32,0.4438324831176218
33,0.5672967761287478
34,0.5477866561242827
35,0.7710086986158114
36,0.6196520467009582
37,0.6172382299538742
38,0.6648870285712035
39,0.8862993011393906
40,0.5946127113357039
41,0.6156641971750473
42,0.4405593260525128
43,0.28222241878090026
44,0.4938434691342891
45,0.43366254678691074
46,0.6257185818379342
47,0.4232304514304418
48,0.6727367215623942
49,0.6021731928029298
50,0.45584157342464915
51,0.5110511841857587
52,0.5216210620892655
53,0.5194397244543628
54,0.8242973614420049
55,0.5114432085066424
56,0.5969852923409759
57,0.7447757278344455
58,0.516904595646552
59,0.4858942865983512
60,0.5105895216409649
61,0.44017641148536446
62,0.7294674806092826
63,0.8111221290424763
64,0.8078985650899014
65,0.532349200720473
66,0.20491419202605765
67,0.500750363743729
68,0.4254000807432182
69,0.539017105177466
70,0.509621578728776
71,0.5239009219657992
72,0.688861690965752
73,0.7828207735133518
74,0.5375017965793446
75,0.5009389244129964
76,0.4994424029081673
77,0.48497546952800474
78,0.6298298144401607
79,0.30868528387676053
80,0.6213280082805609
81,0.4801763446946513
82,0.7113838061092582
83,0.7226358789225172
84,0.8472146056127133
85,0.6270935458460661
86,0.5567081525610788
87,0.42414094030303084
88,0.7203296001791389
89,0.6140182567244671
90,0.499762762742883
91,0.6997422586813221
92,0.547699185423843
93,0.352341353827642
94,0.5068626033995159
95,0.5950778896844838
96,0.5997157322508376
97,0.9283172622548391
98,0.5938187163548411
99,0.48316799156930357
100,0.29921899630879334
101,0.6000650797883961
102,0.6161910822930207
103,0.2856564827964877
104,0.8558389397115337
105,0.4393241601134811
106,0.4757254120847122
107,0.6945638183840542
108,0.6049842723502045
109,0.605445860713102
110,0.5459498956470971
111,0.7205435135545722
112,0.8895474131979656
113,0.7076919740585735
114,0.6786613318303266
115,0.7212409273087231
116,0.8178025421140135
117,0.5538713752372336
118,0.49056979283031354
119,0.6153587839757214
120,0.42274406443932955
121,0.6166953715845794
122,0.715266333607519
123,0.6810805484004215
124,0.5068027771348281
125,0.5592104529470329
126,0.5309002697072361
127,0.4944614051745567
128,0.6079795692206705
129,0.35822245702973377
130,0.5922288880953156
131,0.6644156875030284
132,0.440901210074205
133,0.4203523600645932
134,0.3884231129706893
135,0.5193048737265201
136,0.5162482553261715
137,0.41179184393341306
138,0.6761636019444265
139,0.47202846139194354
140,0.6779490846437702
141,0.7022774781276154
142,0.4340174766791355
143,0.7576502020925832
144,0.3715842630378904
145,0.6893244626928404
146,0.6212489796294202
147,0.6176509152657711
148,0.26314027604452994
149,0.5332881409218854
150,0.5452567649717642
151,0.6110613289935644
152,0.6225688149362779
153,0.28491295839221265
154,0.2157106935110843
155,0.5191392643903551
156,0.47093287387428673
157,0.4169556492056822
158,0.5434606308732276
159,0.7724512242148404
160,0.5756313708247917
161,0.7069585720632837
162,0.3437447024342096
163,0.7859665272480024
164,0.7675432146287812
165,0.5831225747945395
166,0.8726827514098275
167,0.6013402381965379
168,0.5663209456403889
169,0.5448671050331647
170,0.7965106750963512
171,0.448086402765813
172,0.7020264673898738
173,0.3202924109978532
174,0.6135000205571913
175,0.4533614711016888
176,0.5210271818806588
177,0.7625986007210245
178,0.6972813691279559
179,0.5520759117008646
180,0.34008217956950004
181,0.6446225428305729
182,0.5609878132937233
183,0.5345772373392103
184,0.6080976252362867
185,0.8580742160626983
186,0.46386641418320707
187,0.8187159599175587
188,0.6506124362759443
189,0.22381967211469112
190,0.48885383245651226
191,0.686196317612889
192,0.44025211457202584
193,0.608378788448173
194,0.542475505823596
195,0.8137931676060778
196,0.7370903735149744
197,0.6870124719168872
198,0.6815930563630849
199,0.7623558031544905
