date,fold,n_universe,stat,oracle,turnover
2019-04-01,1,276,-0.5844582197202564,2.8496319962005288,0.0
2019-04-02,1,276,-0.7221094887984436,3.3227335297003906,0.2
2019-04-03,1,276,0.3117947636158136,3.1069583455321927,0.2
2019-04-04,1,276,0.7446249410100738,3.329498699803478,0.0
2019-04-05,1,276,0.3664333744884152,3.3138054388572384,0.0
2019-04-08,1,276,0.2986706681708438,3.6590302570520157,0.0
2019-04-09,1,276,-0.3206745811826085,2.9225878337227598,0.0
2019-04-10,1,276,-1.2176144829640212,3.0473419129595243,0.0
2019-04-11,1,276,-1.4697914983907534,3.3479494543907458,0.0
2019-04-12,1,276,-0.674404426508344,3.90510624509946,0.2
2019-04-15,1,276,-0.3412497215376753,4.0819991832088105,0.0
2019-04-16,1,276,-0.2241571368396114,3.7769908192175548,0.0
2019-04-17,1,276,1.2551551800476664,2.6471748777498605,0.0
2019-04-18,1,277,1.9504677168355236,2.679355094047653,0.0
2019-04-22,1,277,1.4107840965078347,2.50866703242383,0.0
2019-04-23,1,277,0.8333304984699158,2.6645845599034343,0.0
2019-04-24,1,277,0.3366413191496064,2.9695307520679495,0.0
2019-04-25,1,277,-0.04346073050227388,3.5231694892701606,0.0
2019-04-26,1,277,0.01893368168924281,3.584435738423882,0.2
2019-04-29,1,277,0.08767078341538888,3.2082578517617506,0.2
2019-04-30,1,277,0.015905457950467314,2.6126888291037895,0.2
2019-05-01,1,277,0.7191655020361619,2.830510723563776,0.0
2019-05-02,1,277,1.1080027091231215,3.0729461040617547,0.0
2019-05-03,1,277,1.20773279751245,3.2628314876860274,0.0
2019-05-06,1,277,-0.274674871012874,2.5245627792748837,0.2
2019-05-10,1,277,1.0361980273968174,2.4728964580959216,0.0
2019-05-14,1,277,0.8509727037698575,2.8005537404364875,0.0
2019-05-20,1,277,0.6073401892469916,2.8355793409870444,0.0
2019-05-21,1,277,-0.1587491872536416,2.4654587688248224,0.0
2019-05-22,1,277,0.72140369047666,2.628238194962056,0.0
2019-05-23,1,277,1.6622367261469964,2.8073872042349057,0.0
