arm,h,obs_index,date,placebo_score_date,block,units,n_pairs_genuine_leg_only,n_pairs_placebo_leg_only,kept,n_pairs_shared,spread_gen,spread_pla,delta,n_flagged_unadjusted,ic_genuine,ic_placebo,cost_drag,delta_net
W,20,10,2021-09-13,2021-07-16,2,raw_excess,143,140,True,140,0.04339740864853448,0.07999937293017889,-0.03660196428164441,70,0.10381579235092173,0.11359909033259716,,
W,20,11,2021-09-20,2021-07-23,2,raw_excess,143,142,True,142,0.05074303958969193,0.07881202646799222,-0.02806898687830029,57,0.17811526202296354,0.21309166808307214,,
W,20,12,2021-09-27,2021-07-30,3,raw_excess,143,142,True,142,-0.0031311530539694073,0.07344129637471614,-0.07657244942868555,58,0.15894055001037322,0.21470438461748023,,
W,20,13,2021-10-04,2021-08-06,3,raw_excess,143,142,True,142,0.03611530033881748,0.07460961552458019,-0.03849431518576271,83,0.43073109090489975,0.3780310190259247,,
W,20,14,2021-10-11,2021-08-13,3,raw_excess,143,143,True,143,0.09377203058264992,0.07907427986065416,0.014697750721995764,64,0.43787550477691317,0.343420663843199,,
W,20,15,2021-10-18,2021-08-20,3,raw_excess,143,143,True,143,0.06617269796550902,0.03294229656573683,0.033230401399772194,66,0.30634860216680554,0.19683837289471093,,
W,20,16,2021-10-25,2021-08-27,4,raw_excess,143,143,True,143,0.0641333809190621,-0.0103859241295931,0.0745193050486552,78,0.14042237105617386,0.06480432712827078,,
W,20,17,2021-11-01,2021-09-03,4,raw_excess,143,143,True,143,0.05117533889392333,0.01145573946460195,0.03971959942932138,76,0.0516719196296661,0.08725253619619817,,
W,20,18,2021-11-08,2021-09-13,4,raw_excess,143,143,True,143,-0.02672699216315686,-0.031077113189305526,0.004350121026148665,74,-0.2555484421681605,-0.2301700646771069,,
W,20,19,2021-11-15,2021-09-20,4,raw_excess,143,143,True,143,-0.011840864603951739,-0.020218383211213126,0.008377518607261387,71,-0.3519485209626055,-0.3743844183985029,,
W,20,20,2021-11-22,2021-09-27,5,raw_excess,143,143,True,143,0.0001039831602876874,0.02539834239014947,-0.02529435922986178,57,-0.210799763616665,-0.1871285991004301,,
W,20,21,2021-11-30,2021-10-04,5,raw_excess,143,143,True,143,0.01529624892125217,0.004999027523513665,0.010297221397738504,72,-0.20014609803342198,-0.23033421977083948,,
W,20,22,2021-12-07,2021-10-11,5,raw_excess,143,143,True,143,0.03732794003946902,-0.007072664310777186,0.04440060435024621,79,-0.2825522449772542,-0.3169096162053908,,
W,20,23,2021-12-14,2021-10-18,5,raw_excess,143,143,True,143,0.008944667538463874,0.000756399409249351,0.008188268129214523,100,-0.2095482960171906,-0.21291347889128429,,
W,20,24,2021-12-21,2021-10-25,6,raw_excess,143,143,True,143,-0.0036934415970450232,-0.03509343259494577,0.031399990997900744,61,-0.3947847926721166,-0.37954709609639187,,
W,20,25,2021-12-29,2021-11-01,6,raw_excess,143,143,True,143,-0.0468175700344961,-0.03327739413090739,-0.013540175903588712,56,-0.4877088873567747,-0.3949776749072523,,
W,20,26,2022-01-05,2021-11-08,6,raw_excess,143,143,True,143,0.012305878264966255,0.04130920377648015,-0.02900332551151389,63,-0.3833062477428674,-0.2960167766505794,,
W,20,27,2022-01-12,2021-11-15,6,raw_excess,143,143,True,143,0.015556295058134908,0.027438433465377957,-0.011882138407243049,68,-0.10816179126038279,-0.10620013789027871,,
W,20,28,2022-01-20,2021-11-22,7,raw_excess,143,143,True,143,0.019945262682890826,0.03234235819796704,-0.012397095515076215,77,-0.026724449259660523,-0.011507272070652351,,
W,20,29,2022-01-27,2021-11-30,7,raw_excess,143,143,True,143,0.027725009409101765,0.04640523508563999,-0.018680225676538226,73,0.15820447158475326,0.15431809974063493,,
W,20,30,2022-02-03,2021-12-07,7,raw_excess,143,143,True,143,0.04870601638962774,0.07704267077369106,-0.028336654384063326,55,-0.16507025838011755,-0.10333573752399798,,
