date,n,spearman_panel,spearman_rank,top5_overlap_panel
2026-05-20,76,0.5910594668489405,0.5910594668489405,2
2026-05-21,75,0.5182361308677098,0.5182361308677098,1
2026-06-01,77,0.6256112308743887,0.6256112308743887,3
2026-06-02,78,0.6106172308703953,0.6106172308703953,3
2026-06-03,79,0.6086416747809154,0.6086416747809154,2
2026-06-04,80,0.6119784341303329,0.6119784341303329,3
2026-06-09,87,0.41217102865057953,0.41217102865057953,1
2026-06-10,87,0.4415506306043595,0.4415506306043595,1
2026-06-22,82,0.7920571173583222,0.7920571173583222,3
2026-06-23,78,0.8196234145601233,0.8196234145601233,2
2026-06-24,79,0.8430136319376825,0.8430136319376825,4
2026-06-25,81,0.818089430894309,0.818089430894309,4
2026-06-26,84,0.3168978434747393,0.3168978434747393,2
2026-06-29,48,0.5182370820668692,0.5182370820668692,3
2026-06-30,90,0.49376669452076644,0.49376669452076644,2
2026-07-01,89,0.4962717058222677,0.4962717058222677,3
2026-07-02,88,0.49656581310978837,0.49656581310978837,2
2026-07-06,41,0.7001742160278747,0.7001742160278747,1
2026-07-07,40,0.6958724202626643,0.6958724202626643,1
2026-07-10,88,0.796676734499793,0.796676734499793,2
2026-07-13,84,0.7593398805305255,0.7593398805305255,2
2026-07-20,79,0.6965597405176489,0.6965597405176489,2
2026-07-21,78,0.6564954033308463,0.6564954033308463,2
2026-07-22,77,0.6826068668173931,0.6826068668173931,1
2026-07-23,77,0.6719596193280404,0.6719596193280404,1
2026-07-24,76,0.650745044429255,0.650745044429255,0
2026-07-27,84,0.6560696567783739,0.6560696567783739,2
2026-07-28,85,0.710513973031073,0.710513973031073,1
2026-07-29,84,0.7132125139212311,0.7132125139212311,1
2026-07-30,83,0.7195541748877041,0.7195541748877041,1
2026-07-31,83,0.7219260316527433,0.7219260316527433,2
2026-08-03,84,0.7175053153791636,0.7175053153791636,2
2026-08-04,88,0.6861153182346519,0.6357296326300589,3
2026-08-05,94,0.6987898710399885,0.613683488061265,2
2026-08-06,92,0.7044063930459442,0.6453000015412358,2
2026-08-07,92,0.7018325293220103,0.6673396729497711,3
