date,n_universe,served_topk_excess,replay_topk_excess,oracle_topk_excess,diff_served_minus_replay
2026-05-20,76,0.4939800519178497,0.4168217724282289,1.729554123398577,0.07715827948962084
2026-05-21,75,0.6425199128303867,0.8186510042259938,1.5987179204064248,-0.17613109139560712
2026-06-01,77,-0.5186890420600546,-0.49209965251171306,1.1702503612384785,-0.026589389548341558
2026-06-02,78,-0.5784953446531031,-0.9121819987283125,1.284229127744371,0.33368665407520937
2026-06-03,79,-0.6665772731277714,-1.1512995659028489,1.1460769496311471,0.4847222927750775
2026-06-04,80,-0.13388583959038233,-0.08272711271500685,1.5367910068999855,-0.05115872687537548
2026-06-09,87,-0.3555068079423599,0.9184365709955211,1.7142753284045753,-1.2739433789378811
2026-06-10,87,-0.0874881630905891,0.8996440238019265,1.7541206948729564,-0.9871321868925156
2026-06-22,82,-0.056726849592968434,-0.29168701142795783,1.424114412035058,0.2349601618349894
2026-06-23,78,0.5380270860516911,0.6488139720832232,1.4052664727918867,-0.11078688603153208
2026-06-24,79,0.8145739700996998,0.7781282980231364,1.964997296609428,0.03644567207656335
2026-06-25,81,-0.08919401690389131,-0.1505020274541557,1.5641286979497688,0.061308010550264386
2026-06-26,84,0.8081894542704097,0.528277185685711,2.034996652264193,0.27991226858469864
2026-06-29,48,-0.5933474524082519,-0.6174801961605042,1.2228465264047519,0.024132743752252273
2026-06-30,90,0.09478996304943879,-0.8998524715206189,1.1583502818010627,0.9946424345700576
2026-07-01,89,0.14419697940599005,-0.29545334041559723,1.540014174824096,0.4396503198215873
2026-07-02,88,0.3267726434682615,-0.07362279285801103,2.184049623395921,0.40039543632627256
2026-07-06,41,-0.25090611365876364,-0.4012945440964572,1.7088664068673256,0.15038843043769357
2026-07-07,40,0.7687031345034924,0.8171908547208006,1.2585998548807822,-0.04848772021730818
2026-07-10,88,-0.2837333147067562,0.2702401433647146,1.6260228705148103,-0.5539734580714708
2026-07-13,84,-0.16472193341831126,-0.195605250925867,1.9478413613113446,0.03088331750755574
2026-07-20,79,-0.5508206287489283,-0.41323240942463074,1.8646848321631113,-0.1375882193242976
2026-07-21,78,-0.7642197727519378,-0.40594428167358054,1.2184932199703387,-0.3582754910783572
2026-07-22,77,-0.23207788805866642,0.22282258978329406,1.3858362045181332,-0.45490047784196047
2026-07-23,77,0.20909823691593682,0.1951359902937138,2.1434020286737527,0.013962246622223007
2026-07-24,76,0.6439448203513479,-0.19431431424664636,2.507133604398736,0.8382591345979943
2026-07-27,84,1.1179111327605067,0.27654322315914415,2.7662065843461288,0.8413679096013625
2026-07-28,85,1.0125274645116944,0.7040667888887066,1.9936874200470858,0.30846067562298785
2026-07-29,84,0.5420637105946307,0.980865652554173,1.6652803440625434,-0.43880194195954236
2026-07-30,83,0.5307726847672602,0.553766694145504,1.7198421654129428,-0.022994009378243696
2026-07-31,83,0.14001546785701713,0.5154992094525754,1.462707082292747,-0.3754837415955583
