date,day_pos,block,on_fixed,spy_vol20,n_panel_usable,n_mom_scored,n_common,n_topdec,frac_flagged_unadjusted,refit_cutoff,spread_A_prod,spread_w50_A_prod,spread_B_3leg,spread_w50_B_3leg,spread_C_2leg_certified,spread_w50_C_2leg_certified,spread_D_solo_xgb,spread_w50_D_solo_xgb,diff_primary,diff_control,diff_primary_w50
2017-01-03,0,0,False,0.08909001728111732,264,263,263,26,0.28136882129277563,2016-09-30,0.03821256630818229,0.003222339567372022,0.7095240751464968,0.22361896497528055,0.6229625435235275,0.23321619044089809,0.6860699367360175,0.2334521917633148,0.6713115088383146,-0.06310739321248993,0.22039662540790853
2017-01-10,5,0,False,0.07555856421959617,264,263,263,26,0.2547528517110266,2016-09-30,0.21444650502902526,0.021022022712649892,0.28270961412012585,0.07274059640137776,-0.15831807105943094,-0.017640421517577158,0.2594226474031922,0.05774695578998198,0.06826310909110059,-0.4177407184626232,0.05171857368872786
2017-01-18,10,0,False,0.06011688683613572,264,263,263,26,0.3079847908745247,2016-09-30,0.2689493868990239,0.027285106328626036,0.34400505310171886,0.026826652086095908,0.30245047279285103,0.021779036755057383,0.16959436863866428,0.021779036755057393,0.07505566620269494,0.13285610415418675,-0.0004584542425301284
2017-01-25,15,0,False,0.07083162454414882,264,263,263,26,0.2737642585551331,2016-09-30,0.16576017048344444,-0.04912422303164528,0.16036814827520063,-0.04774209068278582,0.1615529985703874,-0.024221214235728924,0.2729420240561771,0.023715919834351295,-0.005392022208243807,-0.11138902548578972,0.0013821323488594564
2017-02-01,20,0,False,0.061276725378293914,264,263,263,26,0.34980988593155893,2016-09-30,-0.20019223872557476,-0.08547888067079232,-0.2705188876951682,-0.08810216713375937,0.27491046229708743,0.06993635692292144,-0.0831494152799527,-0.009155547321985407,-0.07032664896959342,0.35805987757704016,-0.002623286462967056
2017-02-08,25,0,False,0.06031697196875427,264,263,263,26,0.311787072243346,2016-09-30,-0.48366102728990623,-0.12125772588307357,-0.5816872564387633,-0.16131239713063802,-0.15687854628674625,-0.03841786606464751,-0.4342824470848801,-0.12500745794948076,-0.09802622914885706,0.2774039007981339,-0.040054671247564455
2017-02-15,30,0,False,0.06364105269882778,264,263,263,26,0.3422053231939164,2016-09-30,0.22092510867032072,0.07126061631166147,0.16622285174656173,0.05569991885766881,0.1241669692241967,0.07937751733296144,-0.04819964719784089,0.010482037879880661,-0.05470225692375899,0.1723666164220376,-0.015560697453992661
2017-02-23,35,0,False,0.053364918360088685,264,263,263,26,0.30418250950570347,2016-09-30,0.07377452946171434,0.01707408731669548,0.017330237220959083,0.03196344935533209,0.26006980810996483,0.07031279754412442,0.20688263845906057,0.07675342243212951,-0.056444292240755256,0.053187169650904254,0.014889362038636608
2017-03-02,40,0,False,0.06887934849750045,265,263,263,26,0.2775665399239544,2016-09-30,0.16740925762365394,0.10063138103563048,0.37088787838122783,0.10471077613441838,0.5014751173956344,0.11584831580716608,0.23288876521407553,0.027811274015343362,0.2034786207575739,0.2685863521815589,0.004079395098787908
2017-03-09,45,0,False,0.07094828963996247,265,263,263,26,0.20912547528517111,2016-09-30,0.2559339164494952,0.10165085544032561,0.6579838043736703,0.14281902602298444,0.5062417406012463,0.07204297757681372,0.33711661856388675,0.025139061434916923,0.4020498879241751,0.16912512203735952,0.04116817058265883
2017-03-16,50,0,False,0.07323606059687437,265,263,263,26,0.20152091254752846,2016-09-30,0.34215343641100954,0.09518895017587768,0.3544922222570639,0.05159177403625338,0.07984677671348309,-0.01071772256648636,-0.12196899441104876,-0.06960318634267616,0.012338785846054356,0.20181577112453186,-0.0435971761396243
2017-03-23,55,0,False,0.08777136592817623,265,263,263,26,0.26615969581749055,2016-09-30,0.2107799671051062,0.04560805323340516,0.7565527552665439,0.16432385465796556,0.4202837823519833,0.047042597772447015,0.35280886854656723,0.025529902796857084,0.5457727881614377,0.06747491380541609,0.1187158014245604
2017-03-30,60,1,False,0.0729373647660016,265,263,263,26,0.24714828897338403,2016-12-30,0.0070607760055809085,0.035465223790364445,0.6345820901959375,0.18231077842619245,0.4168171800988245,0.09879706811201626,0.2662900083548165,0.03893779274683626,0.6275213141903566,0.15052717174400804,0.146845554635828
2017-04-06,65,1,False,0.07329785297223995,265,263,263,26,0.26996197718631176,2016-12-30,0.0813544105637218,0.005921803122429422,0.8466174011048171,0.1742664722943512,0.46496575589031836,0.04588760482050698,0.3234356088897247,-0.033327204578422864,0.7652629905410953,0.14153014700059363,0.16834466917192176
2017-04-13,70,1,False,0.06649306970379797,266,263,263,26,0.2395437262357415,2016-12-30,0.5034612138197175,0.21760456120562355,0.6280943560268567,0.17355444630252712,0.45625292672823553,0.04742291694680319,0.537058379035299,0.08588445540834166,0.12463314220713917,-0.08080545230706343,-0.04405011490309643
2017-04-21,75,1,False,0.06536987396197093,266,263,263,26,0.30038022813688214,2016-12-30,0.40534017147062995,0.10964588756185385,0.7151302144037789,0.16054446499325253,0.22780388658849116,0.01986634759058846,0.28746682522994854,0.06646526028991606,0.30979004293314893,-0.059662938641457386,0.05089857743139868
2017-04-28,80,1,False,0.0741563412704829,266,263,263,26,0.2965779467680608,2016-12-30,0.5466891277451345,0.12265234372733197,0.19051820372022416,0.050684405322064086,0.3881419592802641,0.06089341211701198,0.4295893614711403,0.07512855695128555,-0.3561709240249103,-0.04144740219087617,-0.07196793840526788
2017-05-05,85,1,False,0.07287665967684347,266,263,263,26,0.37262357414448666,2016-12-30,0.3820120742684203,-0.016119621180542082,0.13629647001175238,-0.039976278609890656,-0.04854468472648328,-0.030836353239077838,0.10525550737612835,-0.026648334352820657,-0.24571560425666794,-0.15380019210261164,-0.023856657429348574
2017-05-12,90,1,False,0.06571399375587718,266,263,263,26,0.31558935361216733,2016-12-30,0.04434521593844274,-0.05228724845508001,-0.014536288213523707,-0.02931802863597899,0.07996808175579366,0.04657664512817471,0.09393059621719409,-0.010958133304640832,-0.05888150415196645,-0.013962514461400427,0.02296921981910102
2017-05-19,95,1,False,0.08834376180020707,266,263,263,26,0.19771863117870725,2016-12-30,0.2351664267077787,0.003698925506534575,0.09718041221863005,-0.021675635482800965,0.005433538809825021,0.009518387791487882,0.11298528955187649,0.006697263468315214,-0.13798601448914866,-0.10755175074205148,-0.02537456098933554
2017-05-26,100,1,False,0.08043590002775756,266,263,263,26,0.19391634980988592,2016-12-30,0.17397791746953262,0.013047048165056266,0.15644037260359703,0.0005408302968315307,0.14132207811294034,0.032052694370659225,0.1392630531040275,-0.0075024847051935045,-0.01753754486593559,0.002059025008912835,-0.012506217868224735
2017-06-05,105,1,False,0.08417714578226196,266,263,263,26,0.16730038022813687,2016-12-30,0.04133772360346966,-0.012164785933379968,0.21270199924416583,0.06486085517034548,0.04437466281127215,-0.012960286797392015,-0.1565272631362077,-0.07269153302821807,0.17136427564069617,0.20090192594747985,0.07702564110372545
2017-06-12,110,1,False,0.08452271145320786,266,263,263,26,0.15209125475285168,2016-12-30,0.2225835612617455,0.05831497214603319,0.21377411772942229,0.06582106742482183,0.02642184854543204,-0.003646471487002645,-0.23463130434036544,-0.059512100210178054,-0.008809443532323213,0.2610531528857975,0.007506095278788635
2017-06-19,115,1,False,0.055947008805495635,266,263,263,26,0.14448669201520914,2016-12-30,0.3060641299501226,0.0885744083771354,0.07472590556077899,0.016630494343472618,0.12238770484523381,-0.027783436295770986,0.21587393102854308,0.019229290777851345,-0.23133822438934362,-0.09348622618330926,-0.07194391403366278
2017-06-26,120,2,False,0.058420409546769234,266,263,263,26,0.14828897338403046,2016-12-30,0.1795413952097859,0.025155121855385845,0.06259785700887438,0.028975446149987514,0.3393873797063081,0.06495325210366024,0.14048205020074117,-0.004270710058974922,-0.11694353820091152,0.19890532950556694,0.0038203242946016694
2017-07-03,125,2,False,0.07373596856035004,266,263,263,26,0.22053231939163498,2017-03-31,0.7991112343988015,0.1941028415336205,0.730671191766049,0.19367201275425527,0.7369651435215477,0.1552104742927168,0.9099547846240132,0.21934611217778377,-0.0684400426327525,-0.1729896411024655,-0.00043082877936523323
2017-07-11,130,2,False,0.08367753948372454,266,264,264,26,0.2537878787878788,2017-03-31,0.3661050711712803,0.13611035465660426,0.2000970336722855,0.0468688938669594,0.0744208684717811,0.007074362337124412,0.14909003276417368,0.10705089939555973,-0.16600803749899481,-0.07466916429239258,-0.08924146078964486
2017-07-18,135,2,False,0.0805627705441245,267,264,264,26,0.3257575757575758,2017-03-31,0.37576963577478634,0.125583183432873,0.45191263834720957,0.14294792546647989,-0.0075886939979137695,-0.004869868741159574,0.07218005128127984,0.06841080430664101,0.07614300257242324,-0.07976874527919361,0.017364742033606884
2017-07-25,140,2,False,0.07847991279183553,267,264,264,26,0.38636363636363635,2017-03-31,0.7794049750753826,0.18971625840220147,0.5911179867389592,0.17461227853839514,0.23102447666384165,0.051434958374368546,0.2523841038291747,0.08754439724840554,-0.18828698833642343,-0.021359627165333045,-0.015103979863806322
2017-08-01,145,2,False,0.055924720078996806,267,264,264,26,0.28787878787878785,2017-03-31,0.7341839212071593,0.20379429876632452,0.39715297178564196,0.06222892527612164,0.21020113584271133,0.03447019819814804,0.2644352726687216,0.06459519621797039,-0.3370309494215173,-0.05423413682601025,-0.14156537349020287
2017-08-08,150,2,False,0.03995582061277345,267,264,264,26,0.3484848484848485,2017-03-31,0.37905856768752166,0.0988309475790207,0.18103474849722992,0.03182354563107865,-0.07082777876478534,-0.021789783046324843,-0.03348625253474753,-0.029132407831495732,-0.19802381919029174,-0.03734152623003781,-0.06700740194794205
2017-08-15,155,2,False,0.06906896854843993,267,264,264,26,0.36363636363636365,2017-03-31,0.11675174300279909,0.09560642092467743,0.2081729524939283,0.05965604459392567,-0.12797546737961882,-0.04608432563831781,-0.1132804771475589,-0.05652301245051581,0.09142120949112922,-0.014694990232059918,-0.03595037633075176
2017-08-22,160,2,False,0.09494278229665269,267,264,264,26,0.36363636363636365,2017-03-31,0.09516661301703065,0.04714571532387277,0.012548262491478102,-0.015352820917831501,0.0492440766030806,-0.015352820917831494,-0.04324642466058265,-0.027296675070073155,-0.08261835052555255,0.09249050126366325,-0.06249853624170427
2017-08-29,165,2,False,0.09603962340689833,267,264,264,26,0.30681818181818177,2017-03-31,0.18308490374017306,0.055777422782317614,0.13140318157601077,0.04714479508547893,0.07231473496976669,0.02723754753075974,-0.20777805213543235,-0.08701564183708212,-0.05168172216416228,0.280092787105199,-0.00863262769683868
2017-09-06,170,2,False,0.10346396669570924,267,264,264,26,0.4015151515151515,2017-03-31,-0.09880809001567108,-0.023950717098044805,-0.18420770054561295,-0.10839052361477688,-0.32173052377383654,-0.13010084734838331,-0.4326744278999136,-0.15932984995088265,-0.08539961052994187,0.11094390412607708,-0.08443980651673208
2017-09-13,175,2,False,0.09089109215751796,267,264,264,26,0.3257575757575758,2017-03-31,-0.1493283906725693,-0.007550618312565939,-0.3815719699014179,-0.16430223777521624,-0.2329063944267598,-0.13305989502739776,-0.316676996644244,-0.09331415400902564,-0.23224357922884858,0.08377060221748417,-0.15675161946265032
2017-09-20,180,3,False,0.06058242029439595,267,264,264,26,0.375,2017-03-31,-0.41728285032705,-0.14847776409091498,-0.24335481492516126,-0.11096022656401608,-0.40679003603075187,-0.18064167609228415,-0.10416442048971308,-0.06725983754521853,0.17392803540188873,-0.3026256155410388,0.0375175375268989
2017-09-27,185,3,False,0.06026865477129526,267,264,264,26,0.30681818181818177,2017-06-30,-0.32770873144439094,-0.13034726942137032,-0.3688999652217647,-0.1441659382359529,-0.45756808638229557,-0.22292246559620396,-0.505588227510692,-0.22919189428597267,-0.04119123377737377,0.04802014112839642,-0.013818668814582574
2017-10-04,190,3,False,0.04877682523142067,267,264,264,26,0.2234848484848485,2017-06-30,-0.6414390326168928,-0.2261799456334552,-0.1861104515012665,-0.1307075693254946,-0.16441578858621184,-0.1787990189760223,-0.39211636239462033,-0.15360953842733555,0.45532858111562635,0.2277005738084085,0.0954723763079606
2017-10-11,195,3,False,0.03892544751310545,267,264,264,26,0.25757575757575757,2017-06-30,-0.37176294362847345,-0.11503195033247714,-0.30047249711561946,-0.11352653854847804,-0.26662455516032363,-0.13462069694469575,-0.3963691997805973,-0.17936216453546674,0.07129044651285399,0.12974464462027369,0.0015054117839991
2017-10-18,200,3,False,0.035654266424757594,267,264,264,26,0.2537878787878788,2017-06-30,-0.31500868274700555,-0.1556139422895863,-0.03209764605744278,-0.0601191473811816,-0.061100998886512936,-0.043142037381554386,-0.1628443801723757,-0.046631495085495196,0.28291103668956274,0.10174338128586277,0.0954947949084047
2017-10-25,205,3,False,0.04337481036612148,268,264,264,26,0.19318181818181823,2017-06-30,-0.027621802946044972,-0.03438689035006638,-0.21590426203318908,-0.0876814140859633,-0.1493427768786611,-0.001472025836560198,-0.04170712818404235,0.04414419913468066,-0.1882824590871441,-0.10763564869461875,-0.05329452373589692
2017-11-01,210,3,False,0.051106939236531014,268,264,264,26,0.26136363636363635,2017-06-30,-0.0015274435795194358,-0.004386047506798669,0.14152786672957032,0.08632655125075729,0.2656401191449953,0.12617471384163953,0.1972100448817648,0.12634252607556418,0.14305531030908974,0.0684300742632305,0.09071259875755595
2017-11-08,215,3,False,0.04709149535736496,268,264,264,26,0.26136363636363635,2017-06-30,-0.05356324525907053,-0.020080620520788958,0.20940206293815922,0.04738955734932296,0.2328471114371219,0.05084281495789385,0.2640670831582333,0.07156631960487386,0.26296530819722974,-0.031219971721111406,0.06747017787011192
2017-11-15,220,3,False,0.053673558568829924,268,264,264,26,0.1515151515151515,2017-06-30,-0.04445128568201006,-0.05310866844311637,0.12499891951216234,0.07692002611261238,0.13143764613287348,0.02645340484497178,0.13601613455324163,0.0142131130051547,0.1694502051941724,-0.004578488420368149,0.13002869455572874
2017-11-22,225,3,False,0.05875828529514665,268,264,264,26,0.2272727272727273,2017-06-30,0.03777157681345364,-0.018470687455204575,0.27432681870252623,0.04160389084617998,0.060351117057163006,-0.02202208608244336,0.15648115970261595,-0.017362937087347242,0.2365552418890726,-0.09613004264545294,0.06007457830138455
2017-11-30,230,3,False,0.06641693935615688,268,264,264,26,0.26515151515151514,2017-06-30,0.18227688795878275,0.09961990965777032,0.41793683247696023,0.16499278434235287,0.3130952588858345,0.10424877367317091,0.3204781748263918,0.07503288936614916,0.23565994451817748,-0.007382915940557289,0.06537287468458255
2017-12-07,235,3,False,0.06984740743376931,268,264,264,26,0.3560606060606061,2017-06-30,0.3255157108538425,0.11240949043047346,0.4262419122368396,0.09849342597550405,0.5108352628486226,0.1283502688641906,0.4816040713109019,0.07389918347934228,0.1007262013829971,0.02923119153772069,-0.013916064454969415
2017-12-14,240,4,False,0.06687163241439974,268,264,264,26,0.25757575757575757,2017-06-30,0.552125110852175,0.1948685677947152,0.7721512380139545,0.17953808230761084,0.6519829041675914,0.18195865334630892,0.5867708712793611,0.16790817407829234,0.2200261271617795,0.0652120328882303,-0.015330485487104362
2017-12-21,245,4,False,0.06287519733761696,268,264,264,26,0.25757575757575757,2017-06-30,0.47953194378082026,0.12362034702461072,0.7524908358926962,0.20270798714017485,0.7446697638486421,0.20811946874481146,0.385570359440031,0.10706602858818534,0.2729588921118759,0.35909940440861116,0.07908764011556413
2017-12-29,250,4,False,0.04814190489311771,268,264,264,26,0.23106060606060608,2017-09-29,0.6234533836025553,0.2510950979793426,0.7067781240150542,0.25073623723339034,0.5220507411311538,0.13550490847245297,0.42930861688407973,0.16026150442256126,0.08332474041249893,0.09274212424707406,-0.0003588607459522608
2018-01-08,255,4,False,0.05614568320641659,268,264,264,26,0.25,2017-09-29,0.5032184401620237,0.21779978220794272,0.5661531671705591,0.20318701530220862,0.38569637415935015,0.1655850355570292,0.19396163256350898,0.015497423944402608,0.06293472700853542,0.19173474159584117,-0.014612766905734098
2018-01-16,260,4,False,0.06026905839470166,268,265,265,26,0.2716981132075472,2017-09-29,0.7633798263167827,0.31651030738012814,0.32987680658781965,0.1427692438763633,0.34925574451545405,0.10721466194744035,0.05743447273261944,-0.03032461793915884,-0.43350301972896305,0.2918212717828346,-0.17374106350376484
2018-01-23,265,4,False,0.0644007079662259,268,265,265,26,0.3735849056603774,2017-09-29,0.722452805728447,0.25489281738355635,0.28823495889492884,0.10035698372847987,0.21623106362616654,0.013708097664516528,0.1334297005811548,-0.014785430955499092,-0.4342178468335181,0.08280136304501173,-0.15453583365507648
2018-01-30,270,4,False,0.08850232292338502,269,265,265,26,0.25283018867924534,2017-09-29,0.6033752489062029,0.23237770523248732,0.25292214432769805,0.12697824965599402,0.23901150373333746,0.048368981571313516,0.20105503866092947,0.06198019717114625,-0.3504531045785048,0.03795646507240799,-0.1053994555764933
2018-02-06,275,4,True,0.20547818883671737,269,265,265,26,0.19999999999999996,2017-09-29,0.44114618242015524,0.20346317067505695,0.0012010972252808408,0.03409260598414162,-0.2519879015325042,-0.11478753782443928,0.06274004505151144,0.05499298200357092,-0.4399450851948744,-0.31472794658401565,-0.16937056469091533
2018-02-13,280,4,True,0.2547569895159713,269,265,265,26,0.2754716981132076,2017-09-29,0.32770345809471335,0.17684895055502742,0.26699287237261765,0.16044180439759426,0.43597239544728633,0.22705963093743445,0.23747378007130787,0.14770236477214332,-0.0607105857220957,0.19849861537597846,-0.01640714615743316
2018-02-21,285,4,True,0.2597451958307621,269,265,265,26,0.2264150943396226,2017-09-29,4.230760937438266e-05,0.09631343122767178,0.2145373865388401,0.14559383148448762,0.5774611149878439,0.26325695578023234,0.16437884804683456,0.11823064513204887,0.21449507892946573,0.41308226694100936,0.04928040025681585
2018-02-28,290,4,True,0.2700345700047686,269,266,266,27,0.27819548872180455,2017-09-29,-0.01319664780181332,0.03726037317451265,0.22578552932226195,0.1339321578205441,0.14488742531123225,0.07990208093812866,0.1555294362479138,0.05314850344214785,0.23898217712407527,-0.010642010936681545,0.09667178464603146
2018-03-07,295,4,True,0.20948198517352584,269,266,266,27,0.2857142857142857,2017-09-29,0.16170976479682142,0.14068471306905783,0.20022417261655714,0.1039749616410909,0.2510830537261783,0.13625933910671423,0.13387718627710252,0.10561620389385079,0.038514407819735724,0.11720586744907577,-0.03670975142796694
2018-03-14,300,5,True,0.15321719215439886,269,266,266,27,0.3834586466165414,2017-09-29,-0.011984244973109869,0.06513359370790751,0.15907704657424615,0.09307135137748579,0.24456155687835546,0.03976145587752183,0.07888756073213185,0.01086280006266625,0.17106129154735603,0.1656739961462236,0.027937757669578275
