date,gmm_dom,gmm_max,gmm_bear_p,hurst,hurst_regime,src,vol20,final
2016-11-01,BULL_CALM,0.9995951825373063,6.468273607360541e-23,0.5569029342478433,AMBIGUOUS,dominant_gmm,0.07103305961873235,BULL_CALM
2016-11-02,BULL_CALM,0.9933694392951368,5.822572690634463e-21,0.550124883785231,AMBIGUOUS,dominant_gmm,0.07041285992087196,BULL_CALM
2016-11-03,BULL_CALM,0.9323265022367876,1.2823045056930038e-15,0.5387581886394833,AMBIGUOUS,dominant_gmm,0.07084309072813909,BULL_CALM
2016-11-04,BULL_CALM,0.9813415145064203,1.3489865733785774e-22,0.5355973067028541,AMBIGUOUS,dominant_gmm,0.07054364096521515,BULL_CALM
2016-11-07,BULL_CALM,0.914554279215333,1.6602861855914566e-12,0.5439469093509222,AMBIGUOUS,vol_cluster_choppy,0.10752269973892302,CHOPPY
2016-11-08,BULL_CALM,0.9633506636864931,4.823897931710024e-10,0.5569796696189773,AMBIGUOUS,vol_cluster_choppy,0.09913956862593938,CHOPPY
2016-11-09,BULL_CALM,0.9821860992345662,1.3232652654319692e-09,0.5465954968498699,AMBIGUOUS,vol_cluster_choppy,0.10580969427529992,CHOPPY
2016-11-10,BULL_CALM,0.9814104216509125,1.3192515175711944e-08,0.553532414778352,AMBIGUOUS,dominant_gmm,0.10495539435283378,BULL_CALM
2016-11-11,BULL_CALM,0.9238031094902843,6.414441472333306e-05,0.5604685111387854,AMBIGUOUS,dominant_gmm,0.10557899881272213,BULL_CALM
2016-11-14,BULL_CALM,0.9315300304455708,6.068411246379857e-05,0.5616707120730435,AMBIGUOUS,dominant_gmm,0.1043744672840429,BULL_CALM
2016-11-15,BULL_CALM,0.9395789946651086,4.436946366124277e-06,0.5603691533070974,AMBIGUOUS,dominant_gmm,0.10554079924866736,BULL_CALM
2016-11-16,BULL_CALM,0.9246621240625783,3.402861373817978e-06,0.5642591421546571,AMBIGUOUS,dominant_gmm,0.10586662725308953,BULL_CALM
2016-11-17,BULL_CALM,0.8816712827545619,8.274993090135928e-07,0.5725399287376947,AMBIGUOUS,dominant_gmm,0.10640061653922656,BULL_CALM
2016-11-18,BULL_CALM,0.9115927341389166,2.635786119300972e-07,0.5876682659651046,AMBIGUOUS,dominant_gmm,0.10707952583773277,BULL_CALM
2016-11-21,BULL_CALM,0.9964138051849931,7.550249831840046e-13,0.5966116669729946,AMBIGUOUS,dominant_gmm,0.10900403124374657,BULL_CALM
2016-11-22,BULL_CALM,0.999317703091801,1.0070546735438196e-16,0.6163247073642966,AMBIGUOUS,dominant_gmm,0.10766422737219808,BULL_CALM
2016-11-23,BULL_CALM,0.999482910151328,2.042383432505124e-18,0.6224917296069369,AMBIGUOUS,dominant_gmm,0.10694102275581212,BULL_CALM
2016-11-25,BULL_CALM,0.9998878808263152,3.8248147731350893e-22,0.6351094767054096,AMBIGUOUS,dominant_gmm,0.10593888955350071,BULL_CALM
2016-11-28,BULL_CALM,0.9636505136133997,2.7424905800552714e-07,0.6522421261916672,MOMENTUM,hurst_momentum_bull,0.10717853536563705,BULL_CALM
2016-11-29,BULL_CALM,0.96652572237977,1.8966243406395044e-07,0.6540204435465697,MOMENTUM,hurst_momentum_bull,0.10696496737969191,BULL_CALM
2016-11-30,BULL_CALM,0.9940457428702448,8.945581393787572e-13,0.6643691504223384,MOMENTUM,hurst_momentum_bull,0.1027377973469639,BULL_CALM
2016-12-01,BULL_CALM,0.9944913028624444,6.201556325889977e-13,0.669696893719901,MOMENTUM,hurst_momentum_bull,0.10056711552180206,BULL_CALM
2016-12-02,BULL_CALM,0.9942377858465093,1.371433847822696e-13,0.6903836098187891,MOMENTUM,hurst_momentum_bull,0.09752294649077264,BULL_CALM
2016-12-05,BULL_CALM,0.9992619895310524,1.4313942811847665e-17,0.7072673516601109,MOMENTUM,hurst_momentum_bull,0.09724236959548141,BULL_CALM
2016-12-06,BULL_CALM,0.9999163191221544,5.776147415492484e-21,0.7213240490834887,MOMENTUM,hurst_momentum_bull,0.06605674569527441,BULL_CALM
2016-12-07,BULL_CALM,0.9999984732707455,1.717814885048692e-29,0.7162556837242072,MOMENTUM,hurst_momentum_bull,0.07658578637684624,BULL_CALM
2016-12-08,BULL_CALM,0.9999996485137689,2.3960879646447826e-32,0.6879710586263446,MOMENTUM,hurst_momentum_bull,0.07021569930551941,BULL_CALM
2016-12-09,BULL_CALM,0.9999999999732541,2.4841904884126624e-56,0.7159952723276137,MOMENTUM,hurst_momentum_bull,0.07166160018835262,BULL_CALM
2016-12-12,BULL_CALM,0.9999999999987355,9.555352667526128e-63,0.7338995941516396,MOMENTUM,hurst_momentum_bull,0.07081483697439268,BULL_CALM
2016-12-13,BULL_CALM,0.9999999999999876,2.53594573705883e-73,0.7370557205721272,MOMENTUM,hurst_momentum_bull,0.07228804247709766,BULL_CALM
2016-12-14,BULL_CALM,0.9999999999998819,5.4513826006407816e-70,0.6955619299764337,MOMENTUM,hurst_momentum_bull,0.07891255117284388,BULL_CALM
2016-12-15,BULL_CALM,0.9999999999995586,2.460631361208573e-64,0.7323203468141679,MOMENTUM,hurst_momentum_bull,0.07814814147285433,BULL_CALM
2016-12-16,BULL_CALM,0.9999999958648069,9.280849097831525e-44,0.7176746280849302,MOMENTUM,hurst_momentum_bull,0.08454765534623027,BULL_CALM
2016-12-19,BULL_CALM,0.9999993943175178,7.475486834440324e-32,0.7094740393382495,MOMENTUM,hurst_momentum_bull,0.08349008285522096,BULL_CALM
2016-12-20,BULL_CALM,0.9999982245185939,1.1182285496127118e-28,0.6603881476625255,MOMENTUM,hurst_momentum_bull,0.08098852080455232,BULL_CALM
2016-12-21,BULL_CALM,0.9985394825874312,2.874318487262846e-14,0.7092036794671381,MOMENTUM,hurst_momentum_bull,0.08230356728949495,BULL_CALM
2016-12-22,BULL_CALM,0.993800027300161,1.70133655484031e-11,0.6947892564758604,MOMENTUM,hurst_momentum_bull,0.08292755370482637,BULL_CALM
2016-12-23,BULL_CALM,0.9910090958301504,5.0164516820041085e-12,0.6856905556605734,MOMENTUM,hurst_momentum_bull,0.08235543874372966,BULL_CALM
2016-12-27,BULL_CALM,0.9959060815719791,6.635154781336656e-13,0.6996186139388757,MOMENTUM,hurst_momentum_bull,0.07972900232221049,BULL_CALM
2016-12-28,BULL_CALM,0.9611832215612416,8.551195039519332e-14,0.7115412695828741,MOMENTUM,hurst_momentum_bull,0.08658887507550762,BULL_CALM
2016-12-29,BULL_CALM,0.9901978541533794,1.1986150469665994e-13,0.7362053524288786,MOMENTUM,hurst_momentum_bull,0.08586459291951622,BULL_CALM
2016-12-30,BULL_CALM,0.9319971690055675,2.8648203543560904e-11,0.7237309561368093,MOMENTUM,hurst_momentum_bull,0.08585016655428318,BULL_CALM
2017-01-03,BULL_CALM,0.9923167046954746,1.9632342629382925e-11,0.749932451887008,MOMENTUM,hurst_momentum_bull,0.0890900172811174,BULL_CALM
2017-01-04,BULL_CALM,0.9931408609671197,4.708311345863063e-11,0.7669172623306209,MOMENTUM,hurst_momentum_bull,0.08904818566325112,BULL_CALM
2017-01-05,BULL_CALM,0.9525802412240122,1.2498781953401228e-05,0.7837663894497394,MOMENTUM,hurst_momentum_bull,0.08903458857237347,BULL_CALM
2017-01-06,BULL_CALM,0.9867154516997034,3.9091227718550667e-07,0.7825334600072349,MOMENTUM,hurst_momentum_bull,0.07769131292418328,BULL_CALM
2017-01-09,BULL_CALM,0.9779102930488378,9.138180001188621e-06,0.793273351016082,MOMENTUM,hurst_momentum_bull,0.07854216194386646,BULL_CALM
2017-01-10,BULL_CALM,0.9751943105608649,1.5086970191711609e-05,0.7900174683615462,MOMENTUM,hurst_momentum_bull,0.07555856421959628,BULL_CALM
2017-01-11,BULL_CALM,0.9840117060756675,1.6034341944648779e-06,0.806402656158601,MOMENTUM,hurst_momentum_bull,0.07607304728718783,BULL_CALM
2017-01-12,BULL_CALM,0.9736171624055375,1.2844891342681788e-05,0.8031618056094617,MOMENTUM,hurst_momentum_bull,0.07261059249948913,BULL_CALM
2017-01-13,BULL_CALM,0.9315473442010468,0.0001527729137468738,0.8107502282024976,MOMENTUM,hurst_momentum_bull,0.06661604905874856,BULL_CALM
2017-01-17,BULL_CALM,0.916005346771747,0.0002158955661105151,0.8123362026040304,MOMENTUM,hurst_momentum_bull,0.06627875794998363,BULL_CALM
2017-01-18,BULL_CALM,0.9191447961250153,0.0002592470358813954,0.8318478732723453,MOMENTUM,hurst_momentum_bull,0.060116886836135856,BULL_CALM
2017-01-19,BULL_CALM,0.9376174792391387,0.0001487353541064861,0.8354163027103166,MOMENTUM,hurst_momentum_bull,0.061403248593490486,BULL_CALM
2017-01-20,BULL_CALM,0.9656192794570716,1.560321632045169e-05,0.8395209964896105,MOMENTUM,hurst_momentum_bull,0.06125723308345117,BULL_CALM
