sector,regime,style,n_days,ann_spread_pct,adj_t
ai_chip,bull_calm,mom63_proxy,1139,12.182772381447181,0.2513206474920515
ai_chip,bull_volatile,mom63_proxy,1068,1.7581380438944791,0.04034115281121151
ai_chip,bear,mom63_proxy,77,-37.91713071346732,-0.19831475738303367
ai_chip,bull_calm,mom252_proxy,951,23.533501614877874,0.4314397939645387
ai_chip,bull_volatile,mom252_proxy,1067,-6.663455304816855,-0.14172106478106444
ai_chip,bear,mom252_proxy,77,-17.642824018884166,-0.09223974426667554
ai_chip,bull_calm,rev21_proxy,1181,11.08351537377808,0.19024529402011123
ai_chip,bull_volatile,rev21_proxy,1068,-1.4234438260940876,-0.031077309501005432
ai_chip,bear,rev21_proxy,77,100.04744834249801,0.3266671242732163
ai_chip,bull_calm,lowvol63_proxy,1139,-15.515926304269822,-0.47700172543554387
ai_chip,bull_volatile,lowvol63_proxy,1068,-16.21323238968989,-0.43459952574621785
ai_chip,bear,lowvol63_proxy,77,-28.3015110692662,-0.14483258455869577
consumer,bull_calm,mom63_proxy,1139,-4.6199042831047805,-0.20302586394066935
consumer,bull_volatile,mom63_proxy,1068,-7.854323515278782,-0.2505047141529506
consumer,bear,mom63_proxy,77,-45.02150218483273,-0.14235082618646752
consumer,bull_calm,mom252_proxy,951,8.285494939253892,0.2797694369700428
consumer,bull_volatile,mom252_proxy,1067,-6.134137109083239,-0.20913606220547756
consumer,bear,mom252_proxy,77,1.975440031793437,0.006352234336761094
consumer,bull_calm,rev21_proxy,1181,-4.200253665007105,-0.18081108276944569
consumer,bull_volatile,rev21_proxy,1068,6.588944215113117,0.21902918380455313
consumer,bear,rev21_proxy,77,47.342329929649196,0.15833172968133205
consumer,bull_calm,lowvol63_proxy,1139,-3.984724633176026,-0.21083716913341324
consumer,bull_volatile,lowvol63_proxy,1068,-7.882399880092601,-0.27017701447150105
consumer,bear,lowvol63_proxy,77,-22.591897013120576,-0.08420104341839435
datacenter_hw,bull_calm,mom63_proxy,1139,35.8125311225385,0.760588154632386
datacenter_hw,bull_volatile,mom63_proxy,1068,-4.190782567395987,-0.07799611566723647
datacenter_hw,bear,mom63_proxy,77,-115.0057144865275,-0.4460778662661728
datacenter_hw,bull_calm,mom252_proxy,951,37.95585291540163,0.6665041892790929
datacenter_hw,bull_volatile,mom252_proxy,1067,13.935465892590205,0.2629897747578293
datacenter_hw,bear,mom252_proxy,77,-25.864191208740433,-0.10811727686717455
datacenter_hw,bull_calm,rev21_proxy,1181,12.41521318385693,0.29859963494368325
datacenter_hw,bull_volatile,rev21_proxy,1068,11.585450178291024,0.22847082531386728
datacenter_hw,bear,rev21_proxy,77,151.1254434508524,0.5483123685802579
datacenter_hw,bull_calm,lowvol63_proxy,1139,-21.5005501281493,-0.5736267755817592
datacenter_hw,bull_volatile,lowvol63_proxy,1068,-5.11808462152916,-0.10795097213122731
datacenter_hw,bear,lowvol63_proxy,77,-38.04501648332469,-0.14359271416221664
energy,bull_calm,mom63_proxy,1139,-1.340030392038432,-0.07186390701031706
energy,bull_volatile,mom63_proxy,1068,-6.039128706331751,-0.23931253547824102
energy,bear,mom63_proxy,77,-34.68472578801686,-0.1503780255542718
energy,bull_calm,mom252_proxy,951,-1.3500183009056386,-0.060047024973980616
energy,bull_volatile,mom252_proxy,1067,-4.2244501549438045,-0.1642421254852443
energy,bear,mom252_proxy,77,-45.71507332972382,-0.18203370387320666
energy,bull_calm,rev21_proxy,1181,2.8768949205300522,0.1636746125071914
energy,bull_volatile,rev21_proxy,1068,0.906810863997232,0.038177060267026615
energy,bear,rev21_proxy,77,22.881195084242584,0.08814345172483415
energy,bull_calm,lowvol63_proxy,1139,1.8360748582185369,0.10062231766115012
energy,bull_volatile,lowvol63_proxy,1068,-5.73027663769188,-0.23688622169771717
energy,bear,lowvol63_proxy,77,-3.1977804476768354,-0.018034057666337686
finance,bull_calm,mom63_proxy,1139,17.08577069654103,0.3130753687144539
finance,bull_volatile,mom63_proxy,1068,-10.104339500499094,-0.18914875946892684
finance,bear,mom63_proxy,77,-21.48226339913303,-0.08794305724439984
finance,bull_calm,mom252_proxy,951,30.28210697166941,0.4826944335050871
finance,bull_volatile,mom252_proxy,1067,2.4368424529995365,0.04271639459887746
finance,bear,mom252_proxy,77,14.115691755490806,0.059095252509347884
finance,bull_calm,rev21_proxy,1181,15.903772101921751,0.40231445200950094
finance,bull_volatile,rev21_proxy,1068,-10.50604471712863,-0.1414489098088555
finance,bear,rev21_proxy,77,105.53725026586729,0.4609552325637886
finance,bull_calm,lowvol63_proxy,1139,-10.175126448319576,-0.38741267142677566
finance,bull_volatile,lowvol63_proxy,1068,-1.426716956842578,-0.0352830395959137
finance,bear,lowvol63_proxy,77,-57.771606841154444,-0.29420333513943375
giant_tech,bull_calm,mom63_proxy,1139,5.689395244309477,0.19990262546544005
giant_tech,bull_volatile,mom63_proxy,1068,7.346514849461999,0.21294970936260463
giant_tech,bear,mom63_proxy,77,23.6717652652012,0.10037626089024144
giant_tech,bull_calm,mom252_proxy,951,13.466019018522458,0.4131314443800016
giant_tech,bull_volatile,mom252_proxy,1067,-1.483350156364057,-0.04446721110188923
giant_tech,bear,mom252_proxy,77,22.503835442495756,0.10836120880219108
giant_tech,bull_calm,rev21_proxy,1181,0.9067317878946981,0.03319859427497538
giant_tech,bull_volatile,rev21_proxy,1068,-6.189834809118523,-0.18155338926871353
giant_tech,bear,rev21_proxy,77,4.081974404455067,0.02360847407358355
giant_tech,bull_calm,lowvol63_proxy,1139,-9.322291939446831,-0.4150163072308066
giant_tech,bull_volatile,lowvol63_proxy,1068,-3.4449500639795434,-0.11519698551720474
giant_tech,bear,lowvol63_proxy,77,21.184836773007532,0.1421165213230804
healthcare,bull_calm,mom63_proxy,1139,5.988055617488463,0.25881195416572134
healthcare,bull_volatile,mom63_proxy,1068,-1.209617254143794,-0.0475459379387325
healthcare,bear,mom63_proxy,77,-7.457251301429686,-0.03667005226641693
healthcare,bull_calm,mom252_proxy,951,5.849439953817362,0.20581798209952978
healthcare,bull_volatile,mom252_proxy,1067,1.9432029693659882,0.07345335767003987
healthcare,bear,mom252_proxy,77,-90.63748334838199,-0.4350351077162645
healthcare,bull_calm,rev21_proxy,1181,-5.416369826131948,-0.22107316012686168
healthcare,bull_volatile,rev21_proxy,1068,-2.1005095096611215,-0.07761542561252074
healthcare,bear,rev21_proxy,77,31.85238453545669,0.22149123248340538
healthcare,bull_calm,lowvol63_proxy,1139,-6.294818511762348,-0.3650746488756766
healthcare,bull_volatile,lowvol63_proxy,1068,-4.004450658795743,-0.21468297181411009
healthcare,bear,lowvol63_proxy,77,4.9544164474105905,0.04399304868998783
industrial,bull_calm,mom63_proxy,1139,19.84885943707673,0.5136643923499074
industrial,bull_volatile,mom63_proxy,1068,-8.720350975605452,-0.21674451598130928
industrial,bear,mom63_proxy,77,-31.29414378583971,-0.11696326090019869
industrial,bull_calm,mom252_proxy,951,21.36049612322843,0.49800593539461235
industrial,bull_volatile,mom252_proxy,1067,-2.746062109660142,-0.06629653711697325
industrial,bear,mom252_proxy,77,-9.95967151424363,-0.04152572574562829
industrial,bull_calm,rev21_proxy,1181,-8.578548261124785,-0.2878100962760148
industrial,bull_volatile,rev21_proxy,1068,-1.8484021017909251,-0.04616476686047602
industrial,bear,rev21_proxy,77,-36.05811831793491,-0.09661458370852585
industrial,bull_calm,lowvol63_proxy,1139,-8.04655683260777,-0.39005310794485837
industrial,bull_volatile,lowvol63_proxy,1068,-9.871099063561626,-0.36395268688362836
industrial,bear,lowvol63_proxy,77,-48.98881185824592,-0.23451598788515052
software,bull_calm,mom63_proxy,1139,10.566950443528166,0.2120962742775871
software,bull_volatile,mom63_proxy,1068,-1.8170076854016708,-0.030899152162224417
software,bear,mom63_proxy,77,-5.746610429332217,-0.014428392068233965
software,bull_calm,mom252_proxy,951,24.188754007840675,0.38953276383140045
software,bull_volatile,mom252_proxy,1067,8.009303033132548,0.1295377498792458
software,bear,mom252_proxy,77,100.68787536112882,0.37700507064689887
software,bull_calm,rev21_proxy,1181,7.421836419410238,0.19062099702445587
software,bull_volatile,rev21_proxy,1068,28.26001797090291,0.5157042970101758
software,bear,rev21_proxy,77,49.90128379361962,0.19341258532095287
software,bull_calm,lowvol63_proxy,1139,-9.454447332375652,-0.26209960692879913
software,bull_volatile,lowvol63_proxy,1068,-10.595812976339277,-0.20929107678705863
software,bear,lowvol63_proxy,77,-42.30297691461818,-0.18832788477067533
utility,bull_calm,mom63_proxy,1139,-2.787624521909304,-0.32717129104214976
utility,bull_volatile,mom63_proxy,1068,-2.125523992261098,-0.1853938401746623
utility,bear,mom63_proxy,77,-21.560785177972132,-0.24498412666484512
utility,bull_calm,mom252_proxy,951,2.600939680376442,0.27282552245036046
utility,bull_volatile,mom252_proxy,1067,-2.402561399720543,-0.21265509483612038
utility,bear,mom252_proxy,77,-26.010136778638675,-0.35506388749910384
utility,bull_calm,rev21_proxy,1181,2.2782114025774782,0.280319870982569
utility,bull_volatile,rev21_proxy,1068,-2.224974009371282,-0.19518574537213138
utility,bear,rev21_proxy,77,24.156760772283107,0.3553609554082262
utility,bull_calm,lowvol63_proxy,1139,-1.1432164095171427,-0.14277220206660618
utility,bull_volatile,lowvol63_proxy,1068,-1.5856348480476061,-0.1570550227793816
utility,bear,lowvol63_proxy,77,6.205024699022659,0.08354226830598782
