date,n,spearman_panel,spearman_rank,top5_overlap_panel
2026-07-20,79,0.8614637471244784,0.8614637471244784,3
2026-07-21,78,0.8415255630445504,0.8415255630445504,3
2026-07-22,77,0.8359798096640202,0.8359798096640202,3
2026-07-23,77,0.8397654976602343,0.8397654976602343,3
2026-07-24,76,0.8393164730006835,0.8393164730006835,3
2026-07-27,84,0.9861293915156424,0.9861293915156424,5
2026-07-28,85,0.9734414696111001,0.9734414696111001,5
2026-07-29,84,0.9801356687253217,0.9801356687253217,4
2026-07-30,83,0.980101591033122,0.980101591033122,5
2026-07-31,83,0.9748541203140085,0.9748541203140085,5
2026-08-03,84,0.9789004758529918,0.9789004758529918,5
