date,skip,n_live,n_replay,n_intersection,n_labelled,live_only,replay_only
2026-06-23,,78,153.0,78.0,78.0,,ADBE|AFRM|AMAT|AMD|AMZN|ANET|APH|APP|ATI|AVGO|BAC|BWXT|CMG|COHR|COIN|CRM|CSCO|D|DDOG|DE|DELL|DOCU|EME|EQIX|ESTC|FTNT|GE|GLW|GRMN|HON|HPE|HUBS|INTC|INTU|KLAC|LITE|LOW|LRCX|MA|MCHP|MDB|MDT|META|MPWR|MRVL|NET|NOW|NVO|NXPI|OKTA|ON|ORCL|OXY|PANW|PCTY|PGR|QCOM|RBLX|SHOP|SMCI|SNOW|SPY|TEAM|TLT|TMO|TXN|VRT|WDAY|WDC|WFC|XLE|XLI|XLV|XLY|ZS
2026-06-24,,79,153.0,79.0,79.0,,ADBE|AFRM|AMAT|AMD|ANET|APH|APP|ATI|AVGO|BAC|BWXT|CMG|COHR|COIN|CRM|D|DDOG|DE|DELL|DOCU|EME|EQIX|ESTC|FTNT|GE|GLW|GRMN|HON|HPE|HUBS|INTC|INTU|KLAC|LITE|LOW|LRCX|MA|MCHP|MDB|MDT|META|MPWR|MRVL|NET|NOW|NVO|NXPI|OKTA|ON|ORCL|OXY|PCTY|PGR|QCOM|RBLX|SHOP|SMCI|SNOW|SPY|TEAM|TLT|TMO|VRT|WDAY|WDC|WFC|XLE|XLF|XLI|XLK|XLU|XLV|XLY|ZS
2026-06-25,,81,153.0,81.0,81.0,,ADBE|AFRM|AMAT|AMD|APH|APP|ATI|AVGO|BWXT|CME|CMG|COHR|COIN|CRM|DDOG|DE|DELL|DOCU|EME|EQIX|ESTC|FTNT|GE|GLW|GRMN|HON|HPE|HUBS|INTC|INTU|KLAC|LITE|LOW|LRCX|MA|MCHP|MDB|MDT|META|MPWR|MRVL|NET|NFLX|NOW|NVO|NXPI|OKTA|ON|ORCL|OXY|PCTY|PGR|QCOM|RBLX|SHOP|SMCI|SNOW|SPY|TEAM|TLT|TMO|VRT|WDAY|WDC|XLE|XLF|XLI|XLK|XLU|XLV|XLY|ZS
2026-06-26,,84,153.0,84.0,84.0,,ADBE|AFRM|AMAT|AMD|APH|APP|ATI|BWXT|CMG|COHR|COIN|CRM|DDOG|DE|DELL|DOCU|EME|EQIX|ESTC|GE|GLW|GRMN|HON|HPE|HUBS|INTC|INTU|KLAC|LITE|LOW|LRCX|MA|MCHP|MDB|MDT|META|MPWR|MRVL|NET|NOW|NVO|NXPI|OKTA|ON|ORCL|OXY|PCTY|PGR|QCOM|RBLX|SHOP|SMCI|SNOW|SPY|TEAM|TLT|TMO|TXN|VRT|WDAY|WDC|XLE|XLF|XLI|XLK|XLU|XLV|XLY|ZS
2026-06-29,,48,153.0,48.0,48.0,,ADBE|AEP|AFRM|AMAT|AMD|APH|APP|ATI|BAC|BMY|BWXT|C|CME|CMG|COHR|COIN|CRM|CVS|D|DDOG|DE|DELL|DOCU|DUK|EME|EMR|EOG|EQIX|ESTC|ETN|FDX|GE|GILD|GLW|GM|GRMN|HLT|HON|HPE|HUBS|INTC|INTU|KLAC|KMI|KO|LHX|LITE|LOW|LRCX|MA|MCHP|MDB|MDT|META|MMM|MO|MPWR|MRVL|MS|NEM|NET|NOW|NVO|NXPI|OKTA|ON|ORCL|OXY|PCTY|PGR|PH|PM|PNC|QCOM|RBLX|ROST|SCHW|SHOP|SMCI|SNOW|SO|SPG|SPY|T|TEAM|TJX|TLT|TMO|TXN|VLO|VRT|VTR|WDAY|WDC|WELL|WFC|WMB|XLE|XLF|XLI|XLK|XLU|XLV|XLY|ZS
2026-06-30,,90,153.0,90.0,90.0,,ADBE|AFRM|AMAT|AMD|ANET|APP|BMY|CME|COHR|COIN|COST|CVX|DDOG|DELL|DOCU|EQIX|ESTC|GE|GILD|GLW|HD|HON|HPE|HUBS|INTC|INTU|KLAC|LITE|LOW|LRCX|MCD|MDB|MDT|META|MPWR|MRVL|NET|NOW|NVO|NXPI|OKTA|ON|ORCL|PCTY|PGR|PLTR|QCOM|RBLX|SHOP|SMCI|SNOW|T|TEAM|TLT|TXN|VLO|VRT|VTR|WDAY|WDC|XLV|XOM|ZS
2026-07-01,,89,153.0,89.0,89.0,,ADBE|AFRM|AMAT|AMD|ANET|APP|BMY|CME|COHR|COIN|COST|CVX|DDOG|DELL|DOCU|EQIX|ESTC|GE|GILD|GLW|HD|HON|HPE|HUBS|INTC|INTU|KLAC|LITE|LOW|LRCX|MCD|MDB|MDT|META|MPWR|MRVL|NEE|NET|NOW|NVO|NXPI|OKTA|ON|ORCL|PCTY|PGR|PLTR|QCOM|RBLX|SHOP|SMCI|SNOW|T|TEAM|TLT|TXN|VLO|VRT|VTR|WDAY|WDC|XLV|XOM|ZS
2026-07-02,,88,153.0,88.0,88.0,,ADBE|AFRM|AMAT|AMD|ANET|APP|ASML|BMY|CME|COHR|COIN|COST|CRWD|CVX|DDOG|DELL|DOCU|EQIX|ESTC|GE|GILD|GLW|HD|HON|HPE|HUBS|INTC|INTU|KLAC|LITE|LOW|LRCX|MCD|MDB|MDT|MPWR|MRVL|NEE|NET|NOW|NVO|NXPI|OKTA|ON|ORCL|PCTY|PGR|PLTR|QCOM|RBLX|SHOP|SMCI|SNOW|T|TEAM|TLT|TXN|VLO|VRT|VTR|WDAY|WDC|XLV|XOM|ZS
2026-07-06,,41,153.0,41.0,41.0,,ABBV|ADBE|AEP|AFRM|AMAT|AMD|APH|APP|ATI|AXP|BA|BAC|BLK|BMY|BWXT|C|CME|COHR|COIN|COST|CRWD|CVX|D|DDOG|DE|DELL|DLR|DOCU|EME|EMR|EOG|EQIX|ESTC|ETN|FDX|FTNT|GE|GILD|GLW|GOOG|HD|HLT|HON|HPE|HUBS|IBM|INTC|INTU|JNJ|KLAC|KMI|KO|LITE|LOW|LRCX|MCD|MDB|MDT|MMM|MPWR|MRVL|MS|MSFT|NEE|NEM|NET|NOW|NVO|NXPI|OKTA|ON|ORCL|PCTY|PGR|PH|PLTR|PM|PYPL|QCOM|RBLX|ROST|RTX|SCHW|SHOP|SMCI|SNOW|SO|SPY|T|TEAM|TJX|TLT|TMO|TXN|UNH|V|VLO|VRT|VTR|WDAY|WDC|WELL|WFC|WMB|WMT|XLF|XLI|XLK|XLV|XLY|XOM|ZS
2026-07-07,,40,153.0,40.0,40.0,,ABBV|ADBE|AEP|AFRM|AMAT|AMD|ANET|APH|APP|ATI|AXP|BA|BAC|BLK|BMY|BWXT|C|CME|COHR|COIN|COST|CRWD|CVX|D|DDOG|DE|DELL|DLR|DOCU|EME|EMR|EOG|EQIX|ESTC|ETN|FDX|FTNT|GE|GILD|GLW|GOOG|HD|HLT|HON|HPE|HUBS|IBM|INTC|INTU|JNJ|KLAC|KMI|KO|LITE|LOW|LRCX|MCD|MDB|MDT|MMM|MPWR|MRVL|MS|MSFT|NEE|NEM|NET|NOW|NVO|NXPI|OKTA|ON|ORCL|PCTY|PGR|PH|PLTR|PM|PYPL|QCOM|RBLX|ROST|RTX|SCHW|SHOP|SMCI|SNOW|SO|SPY|T|TEAM|TJX|TLT|TMO|TXN|UNH|V|VLO|VRT|VTR|WDAY|WDC|WELL|WFC|WMB|WMT|XLF|XLI|XLK|XLV|XLY|XOM|ZS
