experiment,step,allocator,windows,basis,bars,sharpe_annual,cumulative_return,max_drawdown,mean_turnover,tc_mean,tc_std,cap_violations,is_measurement
E1,0,measurement::A0_decile_ls_zerocost,patchtst_clean_2025-05-08..2026-02-10,replay_net_of_cost,190,1.0702199600362376,0.11113942908612207,-0.10602744524700668,1.0,0.6980573619477034,0.011561387106545964,1,True
E1,1,measurement::A0_decile_ls,patchtst_clean_2025-05-08..2026-02-10,replay_net_of_cost,190,0.16838420341373642,0.01046566978932617,-0.12527111518890288,1.0,0.6980573619477034,0.011561387106545964,1,True
E1,2,A2_alpha_tilt_long_only,patchtst_clean_2025-05-08..2026-02-10,replay_net_of_cost,190,1.8529936613914197,0.3626215506120436,-0.14433919530994818,0.9985904204066727,0.9207048899619269,0.01750821469830457,0,False
E1,3,A2_plus_overlay,patchtst_clean_2025-05-08..2026-02-10,replay_net_of_cost,190,1.8741887632026457,0.25920971411344396,-0.11146367819945108,0.7771559813237634,0.9207048899619269,0.01750821469830457,0,False
E1,4,A2_plus_overlay_floor,patchtst_clean_2025-05-08..2026-02-10,replay_net_of_cost,190,1.4590872853392596,0.2035210806193788,-0.13315982580777705,0.6690665834921985,0.6740314321880683,0.037442623807443,0,False
E1,5,A2_plus_overlay_floor_stop,patchtst_clean_2025-05-08..2026-02-10,replay_net_of_cost,190,0.263927949416197,0.0236522188963062,-0.190637880652865,0.6366412922563865,0.543018647462669,0.1023991568519603,0,False
E1,6,current_qp,patchtst_clean_2025-05-08..2026-02-10,replay_net_of_cost,190,-4.187671621848276,-0.9994480311428013,-0.9994438341748374,12.88378433608396,0.7985576046282145,0.2096784267470738,0,False
