regime,n_artifacts,median_n_dates,median_n_rows,median_mean_ic,median_std_ic,median_hit_rate,median_placebo_ic,n_passed
BULL_CALM,11,444,127092,0.022028878629286562,0.1619818435707905,0.5079006772009029,0.06048132747335454,0
BEAR,11,55,15320,0.33458204027445027,0.1330783213150843,0.9818181818181818,0.01575509030713898,11
BULL_VOLATILE,11,41,8716,0.11155471094798848,0.1472587720478217,0.7317073170731707,0.14683478456332183,1
CHOPPY,11,41,11972,0.012937902754505744,0.11466193937102874,0.7073170731707317,0.079832506709796,0
