date,n_names,n_univ_r,y_z10,y_zdec,y_r10,y_rdec,disp20,breadth,spyvol20,scoredisp,skill60,regime
2025-03-13,142,142,1.0547505557537078,1.3274086841515131,0.11508418079564647,0.15764112345724898,0.024754589832043,0.2112676056338028,0.18139224891002842,0.24588775159977153,,BULL_VOLATILE
2025-03-14,142,142,1.1959691643714905,1.1796778227601732,0.12759353947242225,0.12473953234059562,0.024292851180690397,0.2746478873239437,0.1954540986272058,0.2511707429441673,,BULL_VOLATILE
2025-03-17,142,142,1.4060269236564635,1.2723704150744848,0.16077200390462348,0.13992715443606923,0.023921657857507186,0.30985915492957744,0.19939585651822903,0.23799653328275527,,BULL_VOLATILE
2025-03-18,142,142,1.2623001903295517,1.1973266303539276,0.13569238909995002,0.12597773283890273,0.023492997232835912,0.2746478873239437,0.19944816809994517,0.23600731740105274,,BULL_VOLATILE
2025-03-19,142,142,0.991381561756134,1.3293749136584145,0.09242181809015468,0.14581878237217358,0.023127880079567467,0.34507042253521125,0.20539469683954972,0.23621324215348916,,BULL_VOLATILE
2025-03-20,142,142,1.4155475080013276,1.2569342542971884,0.16911914301039907,0.14304343847203202,0.022781443873630812,0.323943661971831,0.20541420137008767,0.2307118580465338,,BULL_VOLATILE
2025-03-21,142,142,1.0114306136965752,0.972735444349902,0.09893327124386606,0.09314031579191401,0.022550251307880683,0.2887323943661972,0.19924942603320886,0.23937879533683637,,BULL_VOLATILE
2025-03-24,142,142,1.1495607681572437,1.3690448850393295,0.11562206551879145,0.14719677985993102,0.02276671061146126,0.33098591549295775,0.21245837263528056,0.23465561598118415,,BULL_VOLATILE
2025-03-25,142,142,1.1898093767464162,1.2259138806590013,0.12191614690992858,0.12705439613801275,0.0223392065677019,0.3380281690140845,0.21265112188717322,0.2329258159360882,,BULL_VOLATILE
2025-03-26,142,142,1.257738407701254,1.3235397738005434,0.1380927405498214,0.14836154694087203,0.022235706218180922,0.31690140845070425,0.21564640632509588,0.24839777118210682,,BULL_VOLATILE
2025-03-27,142,142,1.198255294561386,1.402896715062005,0.1372785775356923,0.17194196341583057,0.02203435379323819,0.2887323943661972,0.209418289384978,0.23322222942154433,,BULL_VOLATILE
2025-03-28,142,142,1.6233404278755188,1.7443018044744218,0.2503377516964909,0.2666369103450377,0.022264972637321714,0.20422535211267606,0.20918499202815552,0.24468666358814717,,BULL_VOLATILE
2025-03-31,142,142,1.721897840499878,1.6141484081745148,0.29540055908736607,0.2657824042245975,0.02168060997361081,0.24647887323943662,0.20492191231736964,0.2445924860201111,,BULL_VOLATILE
2025-04-01,142,142,1.717349773645401,1.728623411485127,0.27053540136553117,0.2676667516509004,0.021284442577343674,0.28169014084507044,0.20222688429043822,0.24918450432604852,,BULL_VOLATILE
