date,y_adj10,y_raw10,top_vol_pctile,spyvol20,regime,block
2023-10-03,0.32158101165208564,0.3954833954718389,0.9184931506849315,0.1190742448583861,BULL_VOLATILE,0
2023-10-04,0.26520929145091476,0.3414094681616936,0.9815068493150685,0.1237764277896168,BULL_VOLATILE,0
2023-10-05,0.11313673374157207,0.16798670561577222,0.9294520547945206,0.1239648171548616,BULL_VOLATILE,0
2023-10-06,0.11028676356395997,0.1443439825437698,0.9164383561643836,0.1333064520096249,BULL_CALM,0
2023-10-09,0.1633850199103419,0.20286865246262623,0.9746575342465753,0.1331625857752861,BULL_CALM,0
2023-10-10,0.1457763745091279,0.1822003733161972,0.975,0.1346367523840537,BULL_CALM,0
2023-10-11,0.21219573914528106,0.2538392521068255,0.9712328767123287,0.1357358745884419,BULL_CALM,0
2023-10-12,0.08842998967555868,0.13979813200251937,0.9654109589041097,0.1317218756647888,BULL_CALM,0
2023-10-13,0.22833460945014955,0.2884995639046121,0.9726027397260273,0.1221863583188039,BULL_CALM,0
2023-10-16,0.09429474703173668,0.152297377232951,0.9681506849315069,0.1291419075812798,BULL_CALM,0
2023-10-17,0.14631777102071405,0.19999945907151884,0.9537671232876713,0.1290836554646802,BULL_CALM,0
2023-10-18,0.09622653831460264,0.14716668811646513,0.9400684931506849,0.1334365746272131,BULL_CALM,0
2023-10-19,0.12705001167940735,0.18710811028084853,0.9739726027397261,0.1239291322017262,BULL_CALM,0
2023-10-20,0.09180737334982496,0.16513878899519535,0.9438356164383561,0.1306943056000478,BULL_VOLATILE,0
2023-10-23,0.13472171776266356,0.20059544254152492,0.9082191780821919,0.1292182607299701,BULL_VOLATILE,0
2023-10-24,0.19595433632363016,0.268006487895819,0.9243150684931507,0.122701971479548,BULL_VOLATILE,0
2023-10-25,0.23058998159429517,0.3124934259941178,0.9157534246575342,0.1324721522818319,BULL_VOLATILE,0
2023-10-26,0.2350854154897747,0.3303321473062657,0.9328767123287671,0.1354116193464476,BULL_VOLATILE,0
2023-10-27,0.21804129346495768,0.29663601218370855,0.9222602739726027,0.1357339610000769,BULL_VOLATILE,0
2023-10-30,0.19665766155958794,0.27718255752973375,0.9212328767123286,0.1444337459901527,BULL_VOLATILE,0
2023-10-31,0.2187563087788625,0.3021906714425169,0.936986301369863,0.1394830321688099,BULL_VOLATILE,0
2023-11-01,0.18896220354694152,0.26808655608042586,0.9191780821917808,0.1424290893114872,BULL_VOLATILE,0
2023-11-02,0.20756065214378308,0.2753242231247876,0.9356164383561643,0.1581284840630289,BULL_VOLATILE,0
2023-11-03,0.17259201018242395,0.23630748571449642,0.9393835616438355,0.1558550459155876,BULL_VOLATILE,0
2023-11-06,0.17600443658960158,0.25762483392822594,0.9260273972602739,0.1545187190458507,BULL_VOLATILE,0
2023-11-07,0.1506475422059576,0.2131501364355715,0.938013698630137,0.1537784147850042,BULL_VOLATILE,0
2023-11-08,0.20683371928205613,0.26803800839428177,0.9232876712328768,0.1531447405726028,BULL_VOLATILE,0
2023-11-09,0.15885474964390472,0.22993802182168174,0.9493150684931505,0.1541814386777383,BULL_VOLATILE,0
2023-11-10,0.16007197650325478,0.23412546827012265,0.9493150684931505,0.1623446156825811,BULL_VOLATILE,0
2023-11-13,0.1725477072432115,0.2540393068152435,0.9321917808219178,0.1585733281464797,BULL_VOLATILE,0
2023-11-14,0.18864319500277102,0.25396176233898504,0.9133561643835616,0.1720987742466498,BULL_VOLATILE,0
2023-11-15,0.12608257867003564,0.17789976550759484,0.925,0.162949651853059,BULL_VOLATILE,0
2023-11-16,0.29847513238632745,0.3726347030850737,0.9523972602739728,0.157735636457533,BULL_CALM,0
2023-11-17,0.32118404866103506,0.3883543866938108,0.971917808219178,0.1475943155942336,BULL_CALM,0
2023-11-20,0.3130265090297124,0.35855719167549555,0.9058219178082192,0.1470031556374864,BULL_CALM,0
2023-11-21,0.09818088722441984,0.15454157460146306,0.9219178082191781,0.1478697191557499,BULL_VOLATILE,0
2023-11-22,0.04393044188751014,0.08409365318011769,0.9619863013698631,0.1321170778208994,BULL_VOLATILE,0
2023-11-24,0.22720325946960793,0.2798639929031762,0.9554794520547946,0.1183384370780946,BULL_CALM,0
2023-11-27,0.20702922753768954,0.25347228755255,0.9640410958904109,0.1157994823519951,BULL_CALM,0
2023-11-28,0.22236146005513963,0.2713700492927346,0.9609589041095891,0.1137182847976885,BULL_CALM,0
2023-11-29,0.046453298272031866,0.08932019179475366,0.9623287671232876,0.1150089975218501,BULL_CALM,0
2023-11-30,0.2764594193080923,0.31537544225138076,0.9753424657534246,0.112449979062087,BULL_CALM,0
