date,regime,alpha,model
2020-06-26,BULL_VOLATILE,-0.020999984689693735,raw
2020-06-29,BULL_VOLATILE,-0.016393663132758748,raw
2020-06-30,BULL_VOLATILE,0.004634268927017276,raw
2020-07-01,BULL_VOLATILE,-0.013358438091136796,raw
2020-07-02,BULL_VOLATILE,-0.01721173318020526,raw
2020-07-06,BULL_VOLATILE,-0.00837622241112028,raw
2020-07-07,BULL_VOLATILE,-0.07267548457746381,raw
2020-07-08,BULL_VOLATILE,-0.010440001785312784,raw
2020-07-09,BULL_VOLATILE,-0.19374857012145114,raw
2020-07-10,BULL_VOLATILE,-0.1102524521465485,raw
2020-07-13,BULL_VOLATILE,0.0324530294928393,raw
2020-07-14,BULL_VOLATILE,0.13261502958585203,raw
2020-07-15,BULL_VOLATILE,0.14296933471176684,raw
2020-07-16,BULL_VOLATILE,0.1523084069533931,raw
2020-07-17,BULL_VOLATILE,0.3474757305994064,raw
2020-07-20,BULL_VOLATILE,0.3123800464746117,raw
2020-07-21,BULL_VOLATILE,0.29657058899609345,raw
2020-07-22,BULL_VOLATILE,0.07071693804389172,raw
2020-07-23,BULL_VOLATILE,0.3162421398734012,raw
2020-07-24,BULL_VOLATILE,0.1642590544978963,raw
2020-07-27,BULL_CALM,0.06486065946198435,raw
2020-07-28,BULL_CALM,0.040620149497746755,raw
2020-07-29,BULL_CALM,-0.021327918566962083,raw
2020-07-30,BULL_CALM,-0.029468709223327186,raw
2020-07-31,BULL_CALM,0.048105771497217995,raw
2020-08-03,BULL_CALM,-0.010077284979494047,raw
2020-08-04,BULL_CALM,-0.02412036811505644,raw
2020-08-05,BULL_CALM,0.08312599997203537,raw
2020-08-06,BULL_CALM,0.0054095784225225724,raw
2020-08-07,BULL_CALM,0.09753998438240882,raw
2020-08-10,BULL_CALM,0.22408636365621556,raw
2020-08-11,BULL_CALM,0.29802382832690966,raw
2020-08-12,BULL_CALM,0.20010913549926615,raw
2020-08-13,BULL_CALM,0.17837724712704514,raw
2020-08-14,BULL_CALM,-0.007006112325702699,raw
2020-08-17,BULL_CALM,-0.213321450668014,raw
2020-08-18,BULL_CALM,-0.053253255971233746,raw
2020-08-19,BULL_CALM,-0.0038412450197458387,raw
