artifact,artifact_path,content_sha256,scope_source,deployed,regime,n_dates,mean_ic,placebo_60_ic,aligned_real_ic,ceiling,placebo_leg_ok,regime_passed,placebo_over_real,stamped_min_mean_ic,stamped_max_placebo_ratio
panel-ltr.alpha158_fund.weekly_20260706T230931Z.staging.json,panel-ltr.alpha158_fund.weekly_20260706T230931Z.staging.json,5211f6bebd90ca088c7fe2492cae1845369b80b84e53ed347d3c27d7a864c9cf,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_CALM,443,0.02109162349822352,0.059451228730756894,0.029972087331594996,0.014986043665797498,False,False,1.9835531664184942,0.013660206138598533,0.5
panel-ltr.alpha158_fund.weekly_20260706T230931Z.staging.json,panel-ltr.alpha158_fund.weekly_20260706T230931Z.staging.json,5211f6bebd90ca088c7fe2492cae1845369b80b84e53ed347d3c27d7a864c9cf,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_VOLATILE,33,0.09920951584571534,0.15419610770277659,0.0741492342781417,0.03707461713907085,False,False,2.0795374248150766,0.013660206138598533,0.5
panel-ltr.alpha158_fund.weekly_20260706T230931Z.staging.json,panel-ltr.alpha158_fund.weekly_20260706T230931Z.staging.json,5211f6bebd90ca088c7fe2492cae1845369b80b84e53ed347d3c27d7a864c9cf,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,CHOPPY,41,0.01204285629774242,0.06060612114020414,0.01961017685929934,0.00980508842964967,False,False,3.090544342105926,0.013660206138598533,0.5
panel-ltr.alpha158_fund.weekly_20260712T170005Z.staging.json,panel-ltr.alpha158_fund.weekly_20260712T170005Z.staging.json,d80a46dfeb0034e1a278f087901d9d4c0631ff7168b7d556fe557661d919f1ab,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BEAR,55,0.33458204027445027,0.01575509030713898,0.35729807168680966,0.17864903584340483,True,True,0.044095089102381545,0.014326719929137385,0.5
panel-ltr.alpha158_fund.weekly_20260712T170005Z.staging.json,panel-ltr.alpha158_fund.weekly_20260712T170005Z.staging.json,d80a46dfeb0034e1a278f087901d9d4c0631ff7168b7d556fe557661d919f1ab,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_CALM,443,0.022028878629286562,0.06048132747335454,0.02977325329512843,0.014886626647564216,False,False,2.0313980092746746,0.014326719929137385,0.5
panel-ltr.alpha158_fund.weekly_20260712T170005Z.staging.json,panel-ltr.alpha158_fund.weekly_20260712T170005Z.staging.json,d80a46dfeb0034e1a278f087901d9d4c0631ff7168b7d556fe557661d919f1ab,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_VOLATILE,37,0.11668927718727262,0.15720517281663718,0.07686958436802088,0.03843479218401044,False,False,2.045089408367314,0.014326719929137385,0.5
panel-ltr.alpha158_fund.weekly_20260712T170005Z.staging.json,panel-ltr.alpha158_fund.weekly_20260712T170005Z.staging.json,d80a46dfeb0034e1a278f087901d9d4c0631ff7168b7d556fe557661d919f1ab,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,CHOPPY,41,0.012937902754505744,0.079832506709796,0.012084986331147685,0.006042493165573842,False,False,6.605924452230181,0.014326719929137385,0.5
panel-ltr.alpha158_fund.weekly_20260713T201007Z.staging.json,panel-ltr.alpha158_fund.weekly_20260713T201007Z.staging.json,a1a2f82886000c7f49b47de14688ca1cebf45d478f852c1748c3388515423a61,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BEAR,55,0.33458204027445027,0.01575509030713898,0.35729807168680966,0.17864903584340483,True,True,0.044095089102381545,0.014344636908318678,0.5
panel-ltr.alpha158_fund.weekly_20260713T201007Z.staging.json,panel-ltr.alpha158_fund.weekly_20260713T201007Z.staging.json,a1a2f82886000c7f49b47de14688ca1cebf45d478f852c1748c3388515423a61,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_CALM,443,0.022028878629286562,0.060733495501285706,0.02947467261854377,0.014737336309271884,False,False,2.060531639733148,0.014344636908318678,0.5
panel-ltr.alpha158_fund.weekly_20260713T201007Z.staging.json,panel-ltr.alpha158_fund.weekly_20260713T201007Z.staging.json,a1a2f82886000c7f49b47de14688ca1cebf45d478f852c1748c3388515423a61,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_VOLATILE,38,0.11621480325252787,0.15720517281663718,0.07686958436802088,0.03843479218401044,False,False,2.045089408367314,0.014344636908318678,0.5
panel-ltr.alpha158_fund.weekly_20260713T201007Z.staging.json,panel-ltr.alpha158_fund.weekly_20260713T201007Z.staging.json,a1a2f82886000c7f49b47de14688ca1cebf45d478f852c1748c3388515423a61,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,CHOPPY,41,0.012937902754505744,0.079832506709796,0.012084986331147685,0.006042493165573842,False,False,6.605924452230181,0.014344636908318678,0.5
panel-ltr.alpha158_fund.weekly_20260718T110005Z.staging.json,panel-ltr.alpha158_fund.weekly_20260718T110005Z.staging.json,c3614844300d9c4a8937e8e93de8eb944127bcf912651a3fee548c4555fbf8c5,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BEAR,55,0.33458204027445027,0.01575509030713898,0.35729807168680966,0.17864903584340483,True,True,0.044095089102381545,0.014303724087472061,0.5
panel-ltr.alpha158_fund.weekly_20260718T110005Z.staging.json,panel-ltr.alpha158_fund.weekly_20260718T110005Z.staging.json,c3614844300d9c4a8937e8e93de8eb944127bcf912651a3fee548c4555fbf8c5,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_CALM,444,0.021927129284657745,0.061313390704120174,0.028508762148519957,0.014254381074259978,False,False,2.1506858272099088,0.014303724087472061,0.5
panel-ltr.alpha158_fund.weekly_20260718T110005Z.staging.json,panel-ltr.alpha158_fund.weekly_20260718T110005Z.staging.json,c3614844300d9c4a8937e8e93de8eb944127bcf912651a3fee548c4555fbf8c5,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_VOLATILE,41,0.11155471094798848,0.14683478456332183,0.05932052280328501,0.029660261401642504,False,False,2.4752779919058723,0.014303724087472061,0.5
panel-ltr.alpha158_fund.weekly_20260718T110005Z.staging.json,panel-ltr.alpha158_fund.weekly_20260718T110005Z.staging.json,c3614844300d9c4a8937e8e93de8eb944127bcf912651a3fee548c4555fbf8c5,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,CHOPPY,41,0.012937902754505744,0.079832506709796,0.012084986331147685,0.006042493165573842,False,False,6.605924452230181,0.014303724087472061,0.5
panel-ltr.alpha158_fund.weekly_20260719T170005Z.staging.json,panel-ltr.alpha158_fund.weekly_20260719T170005Z.staging.json,0f0fa42d61db11156585a39f941561aefdc270828819fde163950658dd5fc74c,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BEAR,55,0.33458204027445027,0.01575509030713898,0.35729807168680966,0.17864903584340483,True,True,0.044095089102381545,0.014303724087472061,0.5
panel-ltr.alpha158_fund.weekly_20260719T170005Z.staging.json,panel-ltr.alpha158_fund.weekly_20260719T170005Z.staging.json,0f0fa42d61db11156585a39f941561aefdc270828819fde163950658dd5fc74c,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_CALM,444,0.021927129284657745,0.061313390704120174,0.028508762148519957,0.014254381074259978,False,False,2.1506858272099088,0.014303724087472061,0.5
panel-ltr.alpha158_fund.weekly_20260719T170005Z.staging.json,panel-ltr.alpha158_fund.weekly_20260719T170005Z.staging.json,0f0fa42d61db11156585a39f941561aefdc270828819fde163950658dd5fc74c,metadata.wf_gate_metadata.sanity_regime_ic.regimes,False,BULL_VOLATILE,41,0.11155471094798848,0.14683478456332183,0.05932052280328501,0.029660261401642504,False,False,2.4752779919058723,0.014303724087472061,0.5
